canonical_pair,site_a,archive_a,exposure_a,plate_a,scan_a,start_a_utc,end_a_utc,site_b,archive_b,exposure_b,plate_b,scan_b,start_b_utc,end_b_utc,physical_overlap_start_utc,physical_overlap_end_utc,physical_overlap_seconds,science_footprint_fraction_a,science_footprint_fraction_b,science_footprint_fraction_smaller,primary_comparison_count_ge50pct_common,any_partial_comparison_count,best_primary_comparison_endpoint,best_primary_comparison_exposure,best_primary_comparison_gap_minutes,best_primary_comparison_tier,best_any_comparison_gap_minutes,best_any_comparison_tier,plate_site_a,plate_observatory_a,plate_site_lat_a,plate_site_lon_a,plate_numexp_a,plate_telescope_a,plate_instrument_a,plate_site_b,plate_observatory_b,plate_site_lat_b,plate_site_lon_b,plate_numexp_b,plate_telescope_b,plate_instrument_b,recorded_site_names_distinct,site_separation_km,site_separation_band,strong_independence_ge10km,independence_ge50km,independence_ge100km,same_site_primary_control_count,best_same_site_control_endpoint,best_same_site_control_exposure,best_same_site_control_plate,best_same_site_control_gap_minutes,best_same_site_control_tier,raw_plate_site_lon_a_v093d,raw_plate_site_lat_a_v093d,raw_plate_site_lon_b_v093d,raw_plate_site_lat_b_v093d,corrected_site_lon_a,corrected_site_lat_a,corrected_site_lon_b,corrected_site_lat_b,site_coordinate_rule_a,site_coordinate_rule_b,corrected_site_separation_km,corrected_site_separation_band,corrected_strong_independence_ge10km,corrected_independence_ge50km,corrected_independence_ge100km
APPLAUSE:126106 | APPLAUSE:5060,Bamberg,208,126106,83400,108219,1933-08-28T00:01:00+00:00,1933-08-28T00:31:00+00:00,Hamburg,101,5060,3899,4617,1933-08-27T23:03:09+00:00,1933-08-28T01:55:41+00:00,1933-08-28T00:01:00+00:00,1933-08-28T00:31:00+00:00,1800.000,0.04688241,0.00379303,0.04688241,4,5,A,126107,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,4,A,126107,83401,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:126211 | APPLAUSE:5085,Bamberg,208,126211,83505,108324,1933-09-16T20:58:00+00:00,1933-09-16T21:28:00+00:00,Hamburg,101,5085,3918,4633,1933-09-16T20:56:39+00:00,1933-09-17T23:53:13+00:00,1933-09-16T20:58:00+00:00,1933-09-16T21:28:00+00:00,1800.000,0.57041727,0.03491768,0.57041727,2,2,A,126212,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,2,A,126212,83506,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:126212 | APPLAUSE:5085,Bamberg,208,126212,83506,108325,1933-09-16T21:29:00+00:00,1933-09-16T21:59:00+00:00,Hamburg,101,5085,3918,4633,1933-09-16T20:56:39+00:00,1933-09-17T23:53:13+00:00,1933-09-16T21:29:00+00:00,1933-09-16T21:59:00+00:00,1800.000,0.63103169,0.03821925,0.63103169,2,2,A,126211,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,2,A,126211,83505,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:126246 | APPLAUSE:5085,Bamberg,208,126246,83540,108359,1933-09-17T20:49:00+00:00,1933-09-17T21:19:00+00:00,Hamburg,101,5085,3918,4633,1933-09-16T20:56:39+00:00,1933-09-17T23:53:13+00:00,1933-09-17T20:49:00+00:00,1933-09-17T21:19:00+00:00,1800.000,0.42381628,0.03304248,0.42381628,2,2,A,126223,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,2,A,126223,83517,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:126439 | APPLAUSE:5223,Bamberg,208,126439,83733,108549,1933-10-23T18:32:00+00:00,1933-10-23T19:02:00+00:00,Hamburg,101,5223,3978,4673,1933-10-23T18:18:41+00:00,1933-10-23T21:58:06+00:00,1933-10-23T18:32:00+00:00,1933-10-23T19:02:00+00:00,1800.000,0.70448705,0.04406880,0.70448705,2,2,A,126438,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,2,A,126438,83732,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:126440 | APPLAUSE:5223,Bamberg,208,126440,83734,108550,1933-10-23T19:03:00+00:00,1933-10-23T19:33:00+00:00,Hamburg,101,5223,3978,4673,1933-10-23T18:18:41+00:00,1933-10-23T21:58:06+00:00,1933-10-23T19:03:00+00:00,1933-10-23T19:33:00+00:00,1800.000,0.70435661,0.04432643,0.70435661,2,3,A,126439,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,2,A,126439,83733,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:126454 | APPLAUSE:5223,Bamberg,208,126454,83748,108564,1933-10-23T18:32:00+00:00,1933-10-23T19:02:00+00:00,Hamburg,101,5223,3978,4673,1933-10-23T18:18:41+00:00,1933-10-23T21:58:06+00:00,1933-10-23T18:32:00+00:00,1933-10-23T19:02:00+00:00,1800.000,0.16114786,0.03170695,0.16114786,2,2,A,126438,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,2,A,126438,83732,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:127193 | APPLAUSE:5728,Bamberg,208,127193,84474,109257,1934-04-07T21:55:00+00:00,1934-04-07T22:25:00+00:00,Hamburg,101,5728,4071,4775,1934-04-07T21:50:09+00:00,1934-04-07T23:49:50+00:00,1934-04-07T21:55:00+00:00,1934-04-07T22:25:00+00:00,1800.000,1.00000000,0.02059186,1.00000000,10,10,A,127192,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,10,A,127192,84473,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:127194 | APPLAUSE:5728,Bamberg,208,127194,84475,109258,1934-04-07T22:26:00+00:00,1934-04-07T22:56:00+00:00,Hamburg,101,5728,4071,4775,1934-04-07T21:50:09+00:00,1934-04-07T23:49:50+00:00,1934-04-07T22:26:00+00:00,1934-04-07T22:56:00+00:00,1800.000,1.00000000,0.02071626,1.00000000,6,6,A,127193,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,6,A,127193,84474,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:127195 | APPLAUSE:5728,Bamberg,208,127195,84476,109259,1934-04-07T22:57:00+00:00,1934-04-07T23:27:00+00:00,Hamburg,101,5728,4071,4775,1934-04-07T21:50:09+00:00,1934-04-07T23:49:50+00:00,1934-04-07T22:57:00+00:00,1934-04-07T23:27:00+00:00,1800.000,1.00000000,0.02054593,1.00000000,5,5,A,127194,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,5,A,127194,84475,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
