exposure_id,archive,site,start,ra_deg,dec_deg,launch_id,launch_datetime_utc,launch_date_utc,rocket,flight_number,launch_site,outcome,delta_days,source_url,classification,geometric_visibility
DASCH:ivo://org.gavo.dc/~?dasch/q/adh00627,Harvard DASCH,DASCH historical observing site unresolved,1951-08-07 19:55:15.099982708+00:00,269.4136683177579,-35.915697705192265,L0038,1951-08-07T18:00:00Z,1951-08-07,Viking (first model),,White Sands LC-33 – Army Launch Area 1,Successful,0,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mf40254,Harvard DASCH,DASCH historical observing site unresolved,1952-08-22 18:54:13.500008372+00:00,268.60802533291604,-36.105428764726135,L0083,1952-08-22T07:33:00Z,1952-08-22,V-2,TF-3,White Sands LC-33,Successful,0,https://en.wikipedia.org/wiki/1952_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mf40595,Harvard DASCH,DASCH historical observing site unresolved,1953-08-03 19:05:03.299984125+00:00,268.4993368493454,-35.748611365447935,L0151,1953-08-03T18:28:00Z,1953-08-03,Deacon Rockoon,SUI 14,"USS Staten Island, Frobisher Bay",Successful,0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mf40608,Harvard DASCH,DASCH historical observing site unresolved,1953-08-11 18:19:38.299999025+00:00,268.4777891603906,-36.07374433215088,L0158,1953-08-11T17:09:00Z,1953-08-11,Deacon Rockoon,NRL Rockoon 4,"USS Staten Island, Baffin Bay",,0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mf40637,Harvard DASCH,DASCH historical observing site unresolved,1953-09-15 17:20:48.600013346+00:00,268.5970897221999,-35.93845512189563,L0169,1953-09-15T15:02:00Z,1953-09-15,Aerobee RTV-A-1a,USAF 42,Holloman LC-A,Launch failure,0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mf40638,Harvard DASCH,DASCH historical observing site unresolved,1953-09-15 18:22:40.899988024+00:00,268.617691800868,-36.05826237183291,L0169,1953-09-15T15:02:00Z,1953-09-15,Aerobee RTV-A-1a,USAF 42,Holloman LC-A,Launch failure,0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mf40639,Harvard DASCH,DASCH historical observing site unresolved,1953-09-15 18:54:35.699982258+00:00,268.5653657144306,-34.3266423650262,L0169,1953-09-15T15:02:00Z,1953-09-15,Aerobee RTV-A-1a,USAF 42,Holloman LC-A,Launch failure,0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mf39659,Harvard DASCH,DASCH historical observing site unresolved,1951-09-03 18:09:05.900018788+00:00,268.7973154238261,-35.9177588523284,L0044,,1951-09-03,R-1B,,Kapustin Yar,Successful,0,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc38265,Harvard DASCH,DASCH historical observing site unresolved,1955-09-14 00:45:16.600017458+00:00,306.9243217209,22.262461221774767,L0381,1955-09-14T13:30:00Z,1955-09-14,Aerobee AJ10-27,USAF 58,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1955_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc38268,Harvard DASCH,DASCH historical observing site unresolved,1955-09-14 03:05:51.000000328+00:00,307.08140535569805,21.996484264409727,L0381,1955-09-14T13:30:00Z,1955-09-14,Aerobee AJ10-27,USAF 58,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1955_in_spaceflight,date_screen_only,not_evaluated
