pair_index,canonical_pair,endpoint_a,endpoint_b,raw_le10_matches,raw_le3_matches,ordinary_query_cells,hpm_queries,physical_overlap_start_utc,physical_overlap_end_utc,registration_epoch_utc,timing_provenance
11,APPLAUSE:12569 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12569,522,44,68,1,1951-09-19T20:07:22+00:00,1951-09-19T20:07:52+00:00,1951-09-19T20:07:37+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
12,APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,DASCH:mf40300:exp0,APPLAUSE:132096,5646,655,938,1,1952-09-16T19:13:00+00:00,1952-09-16T20:02:38.200000+00:00,1952-09-16T19:37:49.100000+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
13,APPLAUSE:13878 | APPLAUSE:139432,APPLAUSE:139432,APPLAUSE:13878,177728,64680,625,1,1953-08-11T22:53:39+00:00,1953-08-11T23:29:00+00:00,1953-08-11T23:11:19.500000+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
14,APPLAUSE:13879 | APPLAUSE:139433,APPLAUSE:139433,APPLAUSE:13879,102791,35488,647,1,1953-08-11T23:43:31+00:00,1953-08-12T00:17:00+00:00,1953-08-12T00:00:15.500000+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
15,APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,APPLAUSE:13683,DASCH:am28458:exp0,1885,165,779,1,1953-02-15T19:48:59+00:00,1953-02-15T20:18:54+00:00,1953-02-15T20:03:56.500000+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
16,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,DASCH:rb16848:exp0,APPLAUSE:11788,888,77,243,1,1951-01-30T21:13:52+00:00,1951-01-30T21:21:51+00:00,1951-01-30T21:17:51.500000+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
17,APPLAUSE:132654 | APPLAUSE:14120,APPLAUSE:14120,APPLAUSE:132654,1618,211,335,1,1953-12-02T20:46:29+00:00,1953-12-02T20:51:28+00:00,1953-12-02T20:48:58.500000+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
18,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,DASCH:rb16848:exp0,APPLAUSE:11787,888,77,243,1,1951-01-30T21:10:53+00:00,1951-01-30T21:12:53+00:00,1951-01-30T21:11:53+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
19,APPLAUSE:12404 | APPLAUSE:131662,APPLAUSE:131662,APPLAUSE:12404,747,117,199,1,1951-09-01T20:33:16+00:00,1951-09-01T20:33:46+00:00,1951-09-01T20:33:31+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
20,APPLAUSE:12470 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12470,57,8,34,1,1951-09-06T20:13:36+00:00,1951-09-06T20:14:06+00:00,1951-09-06T20:13:51+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
21,APPLAUSE:12562 | APPLAUSE:139010,APPLAUSE:12562,APPLAUSE:139010,610,66,73,1,1951-09-19T19:17:30+00:00,1951-09-19T19:18:00+00:00,1951-09-19T19:17:45+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
22,APPLAUSE:12570 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12570,732,75,82,1,1951-09-19T20:12:21+00:00,1951-09-19T20:12:51+00:00,1951-09-19T20:12:36+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
23,APPLAUSE:12564 | APPLAUSE:139011,APPLAUSE:12564,APPLAUSE:139011,362,31,68,1,1951-09-19T19:38:00+00:00,1951-09-19T19:38:17+00:00,1951-09-19T19:38:08.500000+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
24,APPLAUSE:131918 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28316,DASCH:am28316:exp0,APPLAUSE:131918,434,36,358,1,1952-04-17T19:46:45.100000+00:00,1952-04-17T21:16:45.100000+00:00,1952-04-17T20:31:45.100000+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
25,APPLAUSE:131772 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05468,DASCH:bi05468:exp0,APPLAUSE:131772,1,0,1,1,1951-09-24T19:53:00+00:00,1951-09-24T20:48:00+00:00,1951-09-24T20:20:30+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
26,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40301,DASCH:mf40301:exp0,APPLAUSE:132099,441,32,372,1,1952-09-16T20:17:00+00:00,1952-09-16T21:04:28.100000+00:00,1952-09-16T20:40:44.050000+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
27,APPLAUSE:11819 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05361,DASCH:bi05361:exp0,APPLAUSE:11819,1988,190,876,1,1951-02-28T20:47:36+00:00,1951-02-28T21:27:30+00:00,1951-02-28T21:07:33+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
28,APPLAUSE:13877 | APPLAUSE:139431,APPLAUSE:139431,APPLAUSE:13877,60331,19768,468,1,1953-08-11T22:07:46+00:00,1953-08-11T22:39:00+00:00,1953-08-11T22:23:23+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
29,APPLAUSE:13876 | APPLAUSE:139430,APPLAUSE:139430,APPLAUSE:13876,67751,24603,463,1,1953-08-11T21:21:54+00:00,1953-08-11T21:52:00+00:00,1953-08-11T21:36:57+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
30,APPLAUSE:139532 | DASCH:ivo://org.gavo.dc/~?dasch/q/j04686,APPLAUSE:139532,DASCH:j04686:exp0,76566,38154,426,1,1953-11-29T23:25:01.400000+00:00,1953-11-29T23:39:00+00:00,1953-11-29T23:32:00.700000+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
31,APPLAUSE:11790 | DASCH:ivo://org.gavo.dc/~?dasch/q/b75711,APPLAUSE:11790,DASCH:b75711:exp0,6789,625,457,1,1951-01-30T21:32:49+00:00,1951-01-30T21:35:19+00:00,1951-01-30T21:34:04+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
32,APPLAUSE:12405 | APPLAUSE:131662,APPLAUSE:131662,APPLAUSE:12405,747,117,199,1,1951-09-01T20:38:15+00:00,1951-09-01T20:38:45+00:00,1951-09-01T20:38:30+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
33,APPLAUSE:12471 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12471,57,8,34,1,1951-09-06T20:18:36+00:00,1951-09-06T20:19:05+00:00,1951-09-06T20:18:50.500000+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
