pair_index,canonical_pair,cell_ira,cell_idec,cell_size_deg,query_ra_deg,query_dec_deg,query_radius_deg,ordinary_j2016_margin_arcsec,maxrec,if_maxrec_hit,registration_epoch_utc
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1156,475,0.25,289.125,28.875,0.1995282733036095,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1156,479,0.25,289.125,29.875,0.19882634773272512,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1156,480,0.25,289.125,30.125,0.1986480922197237,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1156,481,0.25,289.125,30.375,0.1984687469935588,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1156,482,0.25,289.125,30.625,0.19828832217881667,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1156,487,0.25,289.125,31.875,0.19737036506086994,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1156,488,0.25,289.125,32.125,0.19718368044507448,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1156,492,0.25,289.125,33.125,0.19642698928457328,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1156,495,0.25,289.125,33.875,0.19584932957945617,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1156,496,0.25,289.125,34.125,0.19565490461406765,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
