raw_match_row,population,v078_catalog_recurrence_class,selection_role,physical_plate_id,archive_family,archive_id,archive_names,institutes,representative_exposure_start_utc,seconds_from_science_epoch,coverage_class,edge_distance_arcsec,scan_id,filename_scan,expected_file_size,fits_checksum,solution_id,solution_num,v078_plate_recurrence_class,v078_nearest_separation_arcsec
293327,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,POSITIVE_STRICT_RECURRENCE_CONTROL,5146,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1938-12-16T23:22:19+00:00,-472166799.5,COVERED_INTERIOR,0.0,6332,DR4/scans/HAM-LA/LA05466_x.fits,1306978560,AJieDHiZAHibAHiZ,8012,1,STRICT_LE3,2.950995482718595
293327,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,2113,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1928-08-28T01:31:55+00:00,-797282223.5,COVERED_INTERIOR,0.0,2369,DR4/scans/HAM-LA/LA02355_x.fits,1312349760,YdZAabX3TbX9YbX9,2759,1,DIAGNOSTIC_GT3_LE5,4.38425775450283
293327,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7679,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-11-25T21:12:01+00:00,-603417.5,COVERED_INTERIOR,0.0,9986,DR4/scans/HAM-LA/LA08157_x.fits,427155840,nTlgqSkgnSkgnSkg,14588,1,NO_SOURCE_WITHIN_15_ARCSEC,
293327,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7688,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-12-05T20:44:39+00:00,258940.5,COVERED_INTERIOR,0.0,10002,DR4/scans/HAM-LA/LA08168_x.fits,427161600,ZdIFfd9CZdGCdd9C,14604,1,NO_SOURCE_WITHIN_15_ARCSEC,
293327,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1953-03-05T19:49:00+00:00,-23504398.5,COVERED_INTERIOR,0.0,113642,DR4/scans/Bamberg-North/012160_1953_h.fits,174444480,8KLaAJJY2JJa8JJY,110998,1,NO_SOURCE_WITHIN_15_ARCSEC,
293327,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,89595,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1953-12-04T18:50:00+00:00,165661.5,COVERED_INTERIOR,0.0,114131,DR4/scans/Bamberg-North/012688_1953_h.fits,174888000,SFRMUCPMSCPMSCPM,111428,1,NO_SOURCE_WITHIN_15_ARCSEC,
293328,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,83743,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1933-10-23T23:42:00+00:00,-634597618.5,COVERED_INTERIOR,0.0,108559,DR4/scans/Bamberg-North/006804_1933_h.fits,174444480,aO8AdL54aL59aL59,107879,1,DIAGNOSTIC_GT3_LE5,3.9085756183219456
293328,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7679,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-11-25T21:12:01+00:00,-603417.5,COVERED_INTERIOR,0.0,9986,DR4/scans/HAM-LA/LA08157_x.fits,427155840,nTlgqSkgnSkgnSkg,14588,1,NO_SOURCE_WITHIN_15_ARCSEC,
293328,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7687,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-12-02T21:53:18+00:00,3859.5,COVERED_INTERIOR,0.0,10000,DR4/scans/HAM-LA/LA08167_x.fits,1312346880,PeNSSZKPPdKPPZKP,14628,1,NO_SOURCE_WITHIN_15_ARCSEC,
293328,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1953-03-05T19:49:00+00:00,-23504398.5,COVERED_INTERIOR,0.0,113642,DR4/scans/Bamberg-North/012160_1953_h.fits,174444480,8KLaAJJY2JJa8JJY,110998,1,NO_SOURCE_WITHIN_15_ARCSEC,
