scan_id,filename_scan,physical_plate_id,archive_id,expected_file_size,fits_checksum,candidate_ids,selection_roles,candidate_count_using_scan,filename_scan_raw,scan_basename,normalized_repository_relative_scan,scan_reference_source,plate_page_url,plate_page_cached,plate_page_refetched_v079b,plate_page_exact_basename_present,resolved_scan_url,url_resolution_method,range_probe_ok,range_probe_http_status,range_probe_content_range,range_probe_content_length,range_probe_reported_total_bytes,range_probe_expected_size_match,range_probe_error,url_resolution_status,local_path,actual_file_size,sha256,download_status,download_attempts
7824,DR4/scans/HAM-LA/LA06511_x.fits,6108,101,197536320,nOA0oO40nO90nO90,293903,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1,DR4/scans/HAM-LA/LA06511_x.fits,LA06511_x.fits,DR4/scans/HAM-LA/LA06511_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_6108/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA06511_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/197536320,2880,197536320,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/7824/LA06511_x.fits,197536320,f8db4ca70c49226697dc8888803a288b051600df03e15e4543a0e45ea72425f1,COMPLETE,1
8084,DR4/scans/HAM-LA/LA06708_x.fits,6282,101,1067690880,7RaAAOT30OY97OY9,292800,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1,DR4/scans/HAM-LA/LA06708_x.fits,LA06708_x.fits,DR4/scans/HAM-LA/LA06708_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_6282/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA06708_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/1067690880,2880,1067690880,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/8084/LA06708_x.fits,1067690880,4a9bafe7508271aa144161e59d6c893ad117039ca20ebe1ba87a569d854d43e5,COMPLETE,1
9698,DR4/scans/HAM-LA/LA08001_y.fits,7526,101,426130560,0mbT3jZT0jaT0jYT,293470,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,1,DR4/scans/HAM-LA/LA08001_y.fits,LA08001_y.fits,DR4/scans/HAM-LA/LA08001_y.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7526/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08001_y.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/426130560,2880,426130560,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/9698/LA08001_y.fits,426130560,544746a22112090a45bb9495326b39c9679f2463771b741c5154777aa956cbc5,COMPLETE,1
9870,DR4/scans/HAM-LA/LA08095_x.fits,7619,101,427155840,caBhdYBfcaBfcYBf,292800,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,1,DR4/scans/HAM-LA/LA08095_x.fits,LA08095_x.fits,DR4/scans/HAM-LA/LA08095_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7619/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08095_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/427155840,2880,427155840,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/9870/LA08095_x.fits,427155840,c66e36923c5d7398a49c2756365394bda8e874b18f5bc35ed54ab2c32579499d,COMPLETE,1
9905,DR4/scans/HAM-LA/LA08113_x.fits,7637,101,427155840,inUFllU9ilUEilU9,293565,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1,DR4/scans/HAM-LA/LA08113_x.fits,LA08113_x.fits,DR4/scans/HAM-LA/LA08113_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7637/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08113_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/427155840,2880,427155840,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/9905/LA08113_x.fits,427155840,64537a9d2fb2064b75a534818dc7defde217cd96bbd187212f8f8a3633b39b6c,COMPLETE,1
9959,DR4/scans/HAM-LA/LA08142_x.fits,7665,101,428077440,AbbaAZaYAaaaAYaW,293343;293349;293614;293892;293903;293985;293995;294052;294096;294130,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,10,DR4/scans/HAM-LA/LA08142_x.fits,LA08142_x.fits,DR4/scans/HAM-LA/LA08142_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7665/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08142_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/428077440,2880,428077440,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/9959/LA08142_x.fits,428077440,8a43ad5b877e581545c9779d9ef955b6a052abaaab6ac3d53130f23f9d003ca6,COMPLETE,1
9972,DR4/scans/HAM-LA/LA08149_x.fits,7672,101,427155840,YAiQa7fOZAfOa5fO,294179,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,1,DR4/scans/HAM-LA/LA08149_x.fits,LA08149_x.fits,DR4/scans/HAM-LA/LA08149_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7672/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08149_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/427155840,2880,427155840,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/9972/LA08149_x.fits,427155840,a3e72364b1e3ed082872e34e03af2f9b926a3abc8716bafed52297f7227e2f24,COMPLETE,1
9986,DR4/scans/HAM-LA/LA08157_x.fits,7679,101,427155840,nTlgqSkgnSkgnSkg,293118;293327;293328;293565;293628;293672;293710;293841;293964;294166,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,10,DR4/scans/HAM-LA/LA08157_x.fits,LA08157_x.fits,DR4/scans/HAM-LA/LA08157_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7679/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08157_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/427155840,2880,427155840,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/9986/LA08157_x.fits,427155840,88e8975d647b125fe00cb525eaa5b94bae8201ac4bf4185cd65c1dc1a6e192b1,COMPLETE,1
10000,DR4/scans/HAM-LA/LA08167_x.fits,7687,101,1312346880,PeNSSZKPPdKPPZKP,292800;293118;293328;293841;294166,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,5,DR4/scans/HAM-LA/LA08167_x.fits,LA08167_x.fits,DR4/scans/HAM-LA/LA08167_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7687/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08167_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/1312346880,2880,1312346880,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/10000/LA08167_x.fits,1312346880,4e97f6c1571510900fa9aacf46eeaea778230c605fd16f4d3239aada59df6259,COMPLETE,1
10002,DR4/scans/HAM-LA/LA08168_x.fits,7688,101,427161600,ZdIFfd9CZdGCdd9C,293327;293565;293628;293672;293710;293964;294179,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7,DR4/scans/HAM-LA/LA08168_x.fits,LA08168_x.fits,DR4/scans/HAM-LA/LA08168_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7688/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08168_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/427161600,2880,427161600,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/10002/LA08168_x.fits,427161600,74037efee309c46e51931e990eecea2d8a0f97d346188ca3a5d70f10a8bc89d7,COMPLETE,1
