v075_ordinal,pair_index,population,raw_match_row,raw_separation_arcsec,corrected_separation_arcsec,loo_corrected_sep_min_arcsec,loo_corrected_sep_max_arcsec,window_arcmin,common_same_gaia_refs,triage_class,a_endpoint,a_tile_id,a_candidate_index,a_gaia_source_id,a_gaia_epoch_ra_deg,a_gaia_epoch_dec_deg,a_gaia_separation_arcsec,a_gaia_strict_le3,a_gaia_diagnostic_le5,a_pm_incomplete_static_neighbor_within15,a_pm_incomplete_source_id,a_pm_incomplete_static_catalog_sep_arcsec,a_pm_incomplete_ref_epoch,b_endpoint,b_tile_id,b_candidate_index,b_gaia_source_id,b_gaia_epoch_ra_deg,b_gaia_epoch_dec_deg,b_gaia_separation_arcsec,b_gaia_strict_le3,b_gaia_diagnostic_le5,b_pm_incomplete_static_neighbor_within15,b_pm_incomplete_source_id,b_pm_incomplete_static_catalog_sep_arcsec,b_pm_incomplete_ref_epoch,same_gaia_source_id,candidate_disposition_changed,a_x,b_x,a_y,b_y,a_x_global,b_x_global,a_y_global,b_y_global,a_ra_deg,b_ra_deg,a_dec_deg,b_dec_deg,a_snr,b_snr,a_signal,b_signal,a_polarity,b_polarity,a_noise,b_noise,a_local_sigma,b_local_sigma,a_threshold,b_threshold,a_gaia_catalog_ra,a_gaia_catalog_dec,a_gaia_catalog_ref_epoch,a_gaia_catalog_pmra,a_gaia_catalog_pmdec,a_gaia_catalog_parallax,b_gaia_catalog_ra,b_gaia_catalog_dec,b_gaia_catalog_ref_epoch,b_gaia_catalog_pmra,b_gaia_catalog_pmdec,b_gaia_catalog_parallax
21,17,PRIMARY_424,292710,1.293035213021298,0.5397641603960353,0.3593278180331681,0.7258842741192775,20.0,28,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x05120-06144_y01024-02048,63,3339448643008178176,84.49006507430036,10.059722005640074,0.9927587518596434,True,True,False,,,,APPLAUSE:132654,x01024-02048_y05120-06144,31,3339448643008178176,84.49006507430036,10.059722005640074,1.227656778585452,True,True,False,,,,True,False,,,,,,,,,84.49033169282819,84.49027595260829,10.05980644819383,10.0594514896829,4.746683573026703,7.8151352417021025,4015.356390517103,8378.428839109823,-1,-1,,,,,,,84.4899947879235,10.059514988391356,2016.0,-4.013239004713163,-12.004913097809755,,84.4899947879235,10.059514988391356,2016.0,-4.013239004713163,-12.004913097809755,
22,17,PRIMARY_424,292711,1.307395023049615,0.6860625239457683,0.11963417708039308,1.221448233621968,5.0,5,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x07168-08192_y01024-02048,67,3334908037942270208,84.33984156245359,9.361640462160626,1.0719109488458836,True,True,False,,,,APPLAUSE:132654,x02048-03072_y04096-05120,213,3334908037942270208,84.33984156245359,9.361640462160626,2.3074672246141548,True,True,False,,,,True,False,,,,,,,,,84.33979325589851,84.33991406774962,9.361934375578832,9.362277420409564,17.099464056357366,13.20863576808754,15779.453653698083,15020.22877451017,-1,-1,,,,,,,,,,,,,,,,,,
23,17,PRIMARY_424,292712,1.310977416552074,2.6868351726960222,1.943895037140165,2.923874799238852,5.0,5,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x07168-08192_y01024-02048,60,3334908175381621504,84.29787187770447,9.372333701911366,1.0147008114159912,True,True,False,,,,APPLAUSE:132654,x02048-03072_y04096-05120,215,3334908175381621504,84.29787187770447,9.372333701911366,1.119238513330785,True,True,False,,,,True,False,,,,,,,,,84.29808856299299,84.29773226632432,9.372517382347525,9.372612420660008,25.62134313813501,14.776700278673609,23643.47767048212,16803.35672926058,-1,-1,,,,,,,,,,,,,,,,,,
24,17,DIAGNOSTIC_179,292713,1.3136558824068991,2.9769280512094984,2.197583022333649,4.118967420183692,10.0,8,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x05120-06144_y03072-04096,82,3336540262955104640,85.35657658640244,10.081905765883798,2.3897325186951597,True,True,False,,,,APPLAUSE:132654,x01024-02048_y05120-06144,35,3336540262955104640,85.35657658640244,10.081905765883798,2.3857050513323688,True,True,False,,,,True,False,,,,,,,,,85.35590413618888,85.3560326891272,10.081953908531627,10.082296159639483,4.793790235188061,11.872124291508166,4021.597244486216,12727.834576002067,-1,-1,,,,,,,,,,,,,,,,,,
25,17,PRIMARY_424,292714,1.3190461643082734,0.9394751895858336,0.6652720622554612,1.2137082893647821,20.0,20,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x13312-14336_y03072-04096,21,3333514918052765184,85.11277344035236,6.775405618235529,2.5170051656880066,True,True,False,,,,APPLAUSE:132654,x01024-02048_y02048-03072,93,3333514918052765184,85.11277344035236,6.775405618235529,2.64935733121973,True,True,False,,,,True,False,,,,,,,,,85.11207229035381,85.1120975031221,6.775341843150199,6.775707388467943,31.69377835029663,17.271734103024954,29496.845915885824,18871.40761558796,-1,-1,,,,,,,85.11267529590913,6.775319426700362,2016.0,-5.651640649453242,-4.998240373656664,,85.11267529590913,6.775319426700362,2016.0,-5.651640649453242,-4.998240373656664,
26,17,DIAGNOSTIC_179,292715,1.320956340240695,2.962227699628422,2.380100582290045,3.5450731053248297,10.0,6,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x05120-06144_y00000-01024,504,3339511035996854912,83.92585470772335,10.229194240692678,0.940192542964384,True,True,False,,,,APPLAUSE:132654,x02048-03072_y05120-06144,89,3339511035996854912,83.92585470772335,10.229194240692678,1.730377744943204,True,True,False,,,,True,False,,,,,,,,,83.92603481832285,83.92634289749654,10.229002433109263,10.229209120669124,9.822040565504173,9.98031156654626,8319.882397513575,10914.95155846726,-1,-1,,,,,,,,,,,,,,,,,,
27,17,PRIMARY_424,292720,1.3599438455417348,1.788896433512398,0.9988874892781994,2.555634752004973,10.0,9,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x07168-08192_y05120-06144,28,3336275315011827072,85.94148937023613,9.60143187812461,1.47640139624712,True,True,False,,,,APPLAUSE:132654,x00000-01024_y04096-05120,198,3336275315011827072,85.94148937023613,9.60143187812461,1.1533415738957442,True,True,False,,,,True,False,,,,,,,,,85.94190351408457,85.9416734351563,9.601393827469671,9.601695888184206,18.457774110513736,10.94010286991507,16166.421709180682,11248.369885881726,-1,-1,,,,,,,,,,,,,,,,,,
28,17,PRIMARY_424,292721,1.3775256809788268,2.517789568500224,1.937704008740377,2.7577850693762063,20.0,9,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x15360-16384_y00000-01024,522,3333015091235214208,84.0162964416179,6.222534064124643,1.846093243243766,True,True,False,,,,APPLAUSE:132654,x02048-03072_y02048-03072,6,3333015091235214208,84.0162964416179,6.222534064124643,0.9495137352727689,True,True,False,,,,True,False,,,,,,,,,84.01606321490313,84.01638564294704,6.222991461122297,6.222782464371843,23.48031786536641,16.20926923093625,23380.020385704884,18318.104903556094,-1,-1,,,,,,,,,,,,,,,,,,
29,17,PRIMARY_424,292725,1.4261263757758826,1.7799199733584463,1.4797585062704652,2.3140247337190165,5.0,6,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x08192-09216_y01024-02048,118,3334884325425420672,84.4857145145653,9.170689126651938,1.7611547197897435,True,True,False,,,,APPLAUSE:132654,x02048-03072_y04096-05120,142,3334884325425420672,84.4857145145653,9.170689126651938,2.64530148794543,True,True,False,,,,True,False,,,,,,,,,84.48614490256055,84.48608937107402,9.170931608515277,9.171323943085495,26.593131472281904,15.698817310487442,24993.317377934585,17851.944109357704,-1,-1,,,,,,,,,,,,,,,,,,
30,17,DIAGNOSTIC_179,292728,1.4894233158967085,2.353246700155233,0.6446590730252652,4.068482382206952,10.0,8,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x07168-08192_y03072-04096,47,3336330496749527296,85.13918630947553,9.234429336495799,1.2553254094767323,True,True,False,,,,APPLAUSE:132654,x01024-02048_y04096-05120,149,3336330496749527296,85.13918630947553,9.234429336495799,1.539289715483102,True,True,False,,,,True,False,,,,,,,,,85.13953802479735,85.13941545538403,9.234396554222329,9.23479219935131,12.912576921087652,8.684972647414646,11492.311287575452,9513.914438645392,-1,-1,,,,,,,,,,,,,,,,,,
