exposure_a,archive_a,site_a,start_a_utc,duration_a_s,end_a_utc,time_precision_a,ra_a_deg,dec_a_deg,fov_a_deg,access_a,exposure_b,archive_b,site_b,start_b_utc,duration_b_s,end_b_utc,time_precision_b,ra_b_deg,dec_b_deg,fov_b_deg,access_b,midpoint_delta_minutes,center_separation_deg,classification,validation_needed
DASCH:ivo://org.gavo.dc/~?dasch/q/am28127,Harvard DASCH,DASCH historical observing site unresolved,1951-01-14T21:19:13.300009527+00:00,2400.0,1951-01-14T21:59:13.300009527+00:00,service_timestamp,120.05714869646454,-15.321418290952952,49.1472001322317,http://dc.g-vo.org/getproduct/dasch/q/am28127,APPLAUSE:11756,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-14T23:00:40+00:00,1020.0,1951-01-14T23:17:40+00:00,calibrated_ut,103.1292,-0.0621,5.0,https://www.plate-archive.org/,89.94499983333334,22.6378467841991,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
APPLAUSE:11775,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30T17:23:29+00:00,600.0,1951-01-30T17:33:29+00:00,calibrated_ut,68.9063,17.2147,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05351,Harvard DASCH,DASCH historical observing site unresolved,1951-01-30T18:18:31.500013086+00:00,7200.0,1951-01-30T20:18:31.500013086+00:00,service_timestamp,104.4408755485738,13.935066629292065,83.78054776256148,http://dc.g-vo.org/getproduct/dasch/q/bi05351,110.04166688333333,34.33991399072789,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
APPLAUSE:11775,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30T17:23:29+00:00,600.0,1951-01-30T17:33:29+00:00,calibrated_ut,68.9063,17.2147,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,Harvard DASCH,DASCH historical observing site unresolved,1951-01-30T20:17:13.599981942+00:00,6000.0,1951-01-30T21:57:13.599981942+00:00,service_timestamp,76.14779641050364,0.363381862911414,33.002542663163524,http://dc.g-vo.org/getproduct/dasch/q/rb16848,218.74333301666667,18.297098319986898,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
APPLAUSE:11776,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30T17:39:27+00:00,600.0,1951-01-30T17:49:27+00:00,calibrated_ut,68.9063,17.2147,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05351,Harvard DASCH,DASCH historical observing site unresolved,1951-01-30T18:18:31.500013086+00:00,7200.0,1951-01-30T20:18:31.500013086+00:00,service_timestamp,104.4408755485738,13.935066629292065,83.78054776256148,http://dc.g-vo.org/getproduct/dasch/q/bi05351,94.07500021666667,34.33991399072789,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
APPLAUSE:11776,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30T17:39:27+00:00,600.0,1951-01-30T17:49:27+00:00,calibrated_ut,68.9063,17.2147,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,Harvard DASCH,DASCH historical observing site unresolved,1951-01-30T20:17:13.599981942+00:00,6000.0,1951-01-30T21:57:13.599981942+00:00,service_timestamp,76.14779641050364,0.363381862911414,33.002542663163524,http://dc.g-vo.org/getproduct/dasch/q/rb16848,202.77666635,18.297098319986898,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
APPLAUSE:11777,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30T17:50:25+00:00,600.0,1951-01-30T18:00:25+00:00,calibrated_ut,68.9063,17.2147,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05351,Harvard DASCH,DASCH historical observing site unresolved,1951-01-30T18:18:31.500013086+00:00,7200.0,1951-01-30T20:18:31.500013086+00:00,service_timestamp,104.4408755485738,13.935066629292065,83.78054776256148,http://dc.g-vo.org/getproduct/dasch/q/bi05351,83.10833355,34.33991399072789,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
APPLAUSE:11777,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30T17:50:25+00:00,600.0,1951-01-30T18:00:25+00:00,calibrated_ut,68.9063,17.2147,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,Harvard DASCH,DASCH historical observing site unresolved,1951-01-30T20:17:13.599981942+00:00,6000.0,1951-01-30T21:57:13.599981942+00:00,service_timestamp,76.14779641050364,0.363381862911414,33.002542663163524,http://dc.g-vo.org/getproduct/dasch/q/rb16848,191.80999968333333,18.297098319986898,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
APPLAUSE:11778,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30T18:04:23+00:00,600.0,1951-01-30T18:14:23+00:00,calibrated_ut,68.9063,17.2147,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05351,Harvard DASCH,DASCH historical observing site unresolved,1951-01-30T18:18:31.500013086+00:00,7200.0,1951-01-30T20:18:31.500013086+00:00,service_timestamp,104.4408755485738,13.935066629292065,83.78054776256148,http://dc.g-vo.org/getproduct/dasch/q/bi05351,69.14166688333333,34.33991399072789,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
APPLAUSE:11778,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30T18:04:23+00:00,600.0,1951-01-30T18:14:23+00:00,calibrated_ut,68.9063,17.2147,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,Harvard DASCH,DASCH historical observing site unresolved,1951-01-30T20:17:13.599981942+00:00,6000.0,1951-01-30T21:57:13.599981942+00:00,service_timestamp,76.14779641050364,0.363381862911414,33.002542663163524,http://dc.g-vo.org/getproduct/dasch/q/rb16848,177.84333301666666,18.297098319986898,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
APPLAUSE:11779,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30T18:24:19+00:00,600.0,1951-01-30T18:34:19+00:00,calibrated_ut,68.9063,17.2147,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05351,Harvard DASCH,DASCH historical observing site unresolved,1951-01-30T18:18:31.500013086+00:00,7200.0,1951-01-30T20:18:31.500013086+00:00,service_timestamp,104.4408755485738,13.935066629292065,83.78054776256148,http://dc.g-vo.org/getproduct/dasch/q/bi05351,49.20833355,34.33991399072789,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
