priority_rank,dasch_plate_id,poss_exposure_id,detected_in,ra_deg,dec_deg,peak_snr,polarity,nearest_other_arcsec,status
1,bi05397,POSS-I:266:E,POSS,259.9451547920445,-6.038845998292571,38.406777716422525,1,63.06881829766372,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9053252816976,-6.0757494745883,38.348785615750565,1,37.65988456368779,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9637496891609,-6.078504734454658,38.21783640426865,1,91.28611153332743,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8744762939946,-6.089489507812888,38.146816304512875,1,91.60034073709572,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.99451695111793,-6.023185347892562,38.07060153258389,1,80.32875915027005,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.86701478783885,-6.172647849395141,37.931597844398034,1,26.64964697470641,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9649285145067,-6.202754236796386,37.85337365146643,1,144.1078649937912,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.07315467508226,-6.159125813736257,37.691885078112485,1,15.743774928779033,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0118752112953,-6.15874895779014,37.58098366665815,1,46.53983909667494,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.84146841213243,-6.238347780436648,37.55845856762135,1,30.16195119514218,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9482027808326,-6.148447231076692,37.515369235554104,1,62.28254146395556,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9378184218392,-6.18531170089545,37.47642598920326,1,150.096646628344,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8260822639997,-6.122618322906037,37.29410220206307,1,74.68912029631984,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.87344422443937,-6.040357354781811,37.27426068980223,1,26.93483695793728,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9623126719846,-6.071892645707977,37.155068289934746,1,67.06686358027302,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9193669943575,-6.228328522833991,36.97989628052572,1,83.44539763994608,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0464532028575,-6.109089964271387,36.9727479075079,1,44.934406905021866,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0990616690351,-6.054202413878564,36.69831357353341,1,103.76722539082895,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8767095507231,-6.288383449696438,36.65609780677385,1,54.00703001704546,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.864962923728,-6.080997417646953,36.52237224996516,1,74.04307613748769,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9166141173761,-6.284080054052335,36.51664799363618,1,142.6237234615648,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9557452834045,-6.1167834022660275,36.49156542026565,1,74.10485964636939,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.96507273151803,-6.02322779708442,36.4908908509571,1,47.895769039884236,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9535114360647,-6.194266382181621,36.39687662914713,1,157.54266051666434,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8818373666348,-6.229794482254423,36.3844792556899,1,40.49689848019699,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.95581858511594,-6.156940521597876,36.3416732190173,1,75.16903745767594,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.97288087651503,-6.136129119055684,36.300519153619895,1,42.65745617117799,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9837297446711,-6.095483874710193,36.28837172977638,1,156.9059428842438,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.82418303550304,-6.123092955513778,36.27773613686298,1,81.01800821574113,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8476599938617,-6.247789193915282,36.123892064315065,1,25.34554903560919,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0775474174836,-6.2162836674678426,35.95907817678378,1,72.24691936252746,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8491297940868,-6.275188938592563,35.818998084192295,1,21.21963889879355,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0629226677394,-6.032529252216089,35.58454020452959,1,90.4615630589057,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9360916000035,-6.016653909954546,35.50367185761603,1,46.25308994643205,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0886072364732,-6.0513850821776725,35.4860442804208,1,111.26012862302092,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8258222814491,-6.258681007584183,35.456934808788006,1,65.35084091013195,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.93681504550204,-6.155549446804952,35.4289163588922,1,109.92788284490254,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9056008652742,-6.234960820875085,35.418342078939006,1,92.32078724798694,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0405857308775,-6.024533023267674,35.304286516888546,1,65.435349323397,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.84283201171297,-6.2000785826070155,35.21056624163414,1,70.7178268267036,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.02466122902786,-6.138414770357832,35.09668990635813,1,17.171524774346985,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.84236912968464,-6.207638157267589,35.08850897255761,1,86.95647698690684,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8535315233029,-6.061168996736102,35.07603578438819,1,17.477168263047492,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8611959785927,-6.100844405200288,34.9767506205661,1,32.05025772567854,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0709452079235,-6.007477323809292,34.92055938506626,1,26.5301855321873,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8453562301019,-6.292201294390229,34.848432836448666,1,12.079604656838427,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.91463344819095,-6.238256029012605,34.83010196430641,1,95.55488549627799,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.92166837423423,-6.186278383448925,34.81983376577564,1,107.3795667111619,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.95869901274716,-6.173471826359898,34.75704605171414,1,132.62965620386953,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.90359195039144,-6.172129053454569,34.72477673197251,1,30.292891255752895,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.03015721886123,-6.0344702799314955,34.64457044990781,1,45.51291602252158,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.98565184205216,-6.107292015370791,34.43034425546377,1,137.87309140759496,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8110438588825,-6.226572008591049,34.381233017459785,1,128.37868153487875,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0314517514212,-6.209742501597469,34.34769300149952,1,23.262931966506883,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.84198077876084,-6.261496714541928,34.34443198807415,1,43.438994180900316,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0684987620885,-6.205432226885,34.159114450390476,1,93.27263301937553,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9355445124188,-6.2420074848888545,34.12786922425607,1,28.997401952677905,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.81608966847534,-6.111291289585204,34.123665190567294,1,63.265924192628354,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0015248794286,-6.211205069097543,34.119991191160985,1,46.565576427646356,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.84505831370916,-6.107950456228742,33.895339282487406,1,12.02259552868672,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8420309673013,-6.2926776912032825,33.85202531377992,1,13.861618804074839,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.01679181091197,-5.9995303951741805,33.829888790935726,1,175.89261387484564,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0192671666404,-6.051494583621118,33.7788165400363,1,80.0896967358536,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8907643061789,-6.171200717233336,33.741939379540064,1,47.55489363954888,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9618429273526,-6.0747279289738865,33.66294261139147,1,76.31284836062618,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9965117412598,-6.073260659274311,33.489845192493426,1,89.16822812974794,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8074638869042,-6.062167573407854,33.4670215993121,1,91.90087600306244,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8573085435149,-6.047463754371597,33.43297848138432,1,50.652689071190366,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9660608700864,-6.044013589637154,33.394870655941304,1,30.429924551500683,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.98073049305845,-6.2693455453696725,33.15785842350296,1,51.74438749500486,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.81507695508867,-6.0711352703204415,33.108898800683264,1,53.5200481053579,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.07949153779,-6.237540224752377,33.07888105958117,1,32.46566526469801,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.8336851791219,-6.1244992214075165,32.83035073902375,1,62.79056460134603,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0468231445265,-6.294285161723886,32.8233066852323,1,119.39625466574618,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0760038714984,-6.158648762206121,32.78514902980378,1,20.805883228161647,unvetted_single-image_peak
