raw_match_row,population,physical_plate_id,scan_id,archive_id,filename_scan,observatory,series,science_series,same_science_series,coverage_class,edge_distance_arcsec,exposure_index,exposure_start_utc,exposure_end_utc,exposure_duration_seconds,timing_source,relation_to_common_overlap,gap_seconds,gap_hours,comparison_overlap_seconds,file_size,fits_checksum,already_acquired_v079,within_1h,within_2h,within_6h,within_24h
293118,PRIMARY_424,90321,114854,208,DR4/scans/Bamberg-North/013412_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-02-02T20:02:00+00:00,1959-02-02T20:59:00+00:00,3420.0,CACHED_UT_END,FOLLOWING,163120232.0,45311.17555555556,0.0,174156480,LISUM9PRLGPRL9PR,False,False,False,False,False
293118,PRIMARY_424,90336,114869,208,DR4/scans/Bamberg-North/013427_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-02-03T19:41:00+00:00,1959-02-03T20:41:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,163205372.0,45334.82555555556,0.0,174444480,9HPBA9PB9EPBA9PB,False,False,False,False,False
293118,PRIMARY_424,90372,114905,208,DR4/scans/Bamberg-North/013463_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-02-04T18:44:00+00:00,1959-02-04T19:44:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,163288352.0,45357.875555555554,0.0,174156480,9hGFFgDC9gDCEgDC,False,False,False,False,False
293118,PRIMARY_424,90376,114909,208,DR4/scans/Bamberg-North/013467_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-02-04T19:51:00+00:00,1959-02-04T20:51:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,163292372.0,45358.99222222222,0.0,174888000,AAaZA6YYAAaYA5WY,False,False,False,False,False
293118,PRIMARY_424,90415,114948,208,DR4/scans/Bamberg-North/013506_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-02-05T18:44:00+00:00,1959-02-05T19:44:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,163374752.0,45381.875555555554,0.0,174888000,AAhAD8h8AAhAA7h5,False,False,False,False,False
293118,PRIMARY_424,90419,114952,208,DR4/scans/Bamberg-North/013510_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-02-05T19:50:00+00:00,1959-02-05T20:50:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,163378712.0,45382.97555555555,0.0,174156480,YgeicgegZgegageg,False,False,False,False,False
293118,PRIMARY_424,90459,114992,208,DR4/scans/Bamberg-North/013550_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-02-07T18:51:00+00:00,1959-02-07T19:51:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,163547972.0,45429.99222222222,0.0,174444480,Ef9KHe7KEe7KEe7K,False,False,False,False,False
293118,PRIMARY_424,90463,114996,208,DR4/scans/Bamberg-North/013554_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-02-07T19:57:00+00:00,1959-02-07T20:57:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,163551932.0,45431.09222222222,0.0,174444480,9SeeHSce9SceGSce,False,False,False,False,False
293118,PRIMARY_424,90503,115036,208,DR4/scans/Bamberg-North/013594_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-02-08T19:58:00+00:00,1959-02-08T20:58:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,163638392.0,45455.10888888889,0.0,174888000,NTaRQTURNTaRNTUR,False,False,False,False,False
293118,PRIMARY_424,90579,115112,208,DR4/scans/Bamberg-North/013670_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-02-12T18:57:00+00:00,1959-02-12T19:57:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,163980332.0,45550.09222222222,0.0,174156480,6fUo6cRm6cRm6cRm,False,False,False,False,False
