adjudication_order,pair_key,endpoint_a,endpoint_b,window_arcmin,minimum_same_gaia_common_refs,model,clipping,higher_order,sparse_fallback_only_if_primary_lt5_at_30arcmin
21,APPLAUSE:12562 | APPLAUSE:139010,APPLAUSE:12562,APPLAUSE:139010,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
21,APPLAUSE:12562 | APPLAUSE:139010,APPLAUSE:12562,APPLAUSE:139010,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
21,APPLAUSE:12562 | APPLAUSE:139010,APPLAUSE:12562,APPLAUSE:139010,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
21,APPLAUSE:12562 | APPLAUSE:139010,APPLAUSE:12562,APPLAUSE:139010,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
22,APPLAUSE:12570 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12570,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
22,APPLAUSE:12570 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12570,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
22,APPLAUSE:12570 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12570,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
22,APPLAUSE:12570 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12570,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
23,APPLAUSE:12564 | APPLAUSE:139011,APPLAUSE:12564,APPLAUSE:139011,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
23,APPLAUSE:12564 | APPLAUSE:139011,APPLAUSE:12564,APPLAUSE:139011,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
23,APPLAUSE:12564 | APPLAUSE:139011,APPLAUSE:12564,APPLAUSE:139011,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
23,APPLAUSE:12564 | APPLAUSE:139011,APPLAUSE:12564,APPLAUSE:139011,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
24,APPLAUSE:131918 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28316,DASCH:am28316:exp0,APPLAUSE:131918,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
24,APPLAUSE:131918 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28316,DASCH:am28316:exp0,APPLAUSE:131918,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
24,APPLAUSE:131918 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28316,DASCH:am28316:exp0,APPLAUSE:131918,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
