scan_id,solution_num,rows,relative_path,size_bytes,sha256
107703,1,1427,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107703_solution_1.npz,89203,b9ecf564e0b58e2826a7c203aa3fe3cc7c45df1af1789222542a232637651a75
107705,1,6095,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107705_solution_1.npz,341479,d796baa71bcaafc93341a17437fdc8f812129d4061ae21681c5c3ba185d61eca
107728,1,4349,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107728_solution_1.npz,252906,3998e68ae4df95e8eb32d5299356b60136c2405fea8d43a96e56d9f3e94b6325
107729,1,6856,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107729_solution_1.npz,343656,b12495e67014fcad8dc3d754300aca04d7260d543e3f8d4e62989f93df8a409e
107738,1,2216,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107738_solution_1.npz,133515,333c8744e12790a524219753651886e8071215d87e85968a660d01ac450a6140
107742,1,1301,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107742_solution_1.npz,84836,84ae7917538902cb1bd45322c01f378be9b4598aa22b896681511148cb7b2af9
107810,1,2214,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107810_solution_1.npz,135471,ebaa882a2205b06fba8f87fe479a4546be235446136c8ce261591b7dd33827f1
107811,1,2066,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107811_solution_1.npz,124775,3f4047e3df90f96a6a195fa976163f07d591119a0d2e7d8bdc1717f33606fd9e
107825,1,4959,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107825_solution_1.npz,275658,bd16ac3a0a16b29dfca7f81c8f0143a846421b8e3b3ed757ddd2c00bc0523c78
107826,1,1505,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107826_solution_1.npz,96762,280b663f2b41f19450470cc8cb1d13a0a4502765407dbda97bf513c2fa6329cb
107827,1,3819,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107827_solution_1.npz,224646,e6f4c1b2451967eaf271eeeae94bd1032b97a3330f5ab092face442324a0eee6
107828,1,3387,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107828_solution_1.npz,201808,a3ba5b794ebf0b36d533c0b40132e797e69f1a9b8a69fec12eea49b0319e273d
107829,1,3857,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107829_solution_1.npz,226668,f2c1c4e7e85e9bebf88db790be0ce568e8042188a9e5acb1ea5d77aa3d31d9df
107841,1,919,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107841_solution_1.npz,61611,e68e75b9ff333b4d02048a1c3d6130ffaca6d83d8b5fdc17c5674009c1f36990
107858,1,1980,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107858_solution_1.npz,117435,37df7417b41f1b4368d00f2c13bed29e30e9ea9cde80c18d5105e2924684cbb9
107859,1,3977,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107859_solution_1.npz,227335,d2b12aa2aec23415b7d2d7bd26c99700547b4f1637b54236648d5f93e329b828
107860,1,2067,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107860_solution_1.npz,122570,75ae216d4312da7a6206e2bdeca91bdc805f75060a82c6c8a4e7e6b7b38b6a6f
107863,1,1255,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107863_solution_1.npz,79036,970dea45a8be8a327ceb3d8d2bcd817820b272861e66c587bdeeece7f6205e0e
107868,1,4035,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107868_solution_1.npz,229518,c46b2e7e0bfe11d8f81eb9f755bda10b8a4c9f1f0434bbea82d66ea6bb33ff47
107872,1,5230,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107872_solution_1.npz,294558,050b205254c50ce3538238de8c7678475e16d031561fe9a9e7e765450c5bf964
107896,1,10031,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107896_solution_1.npz,575382,c57a2221dde055d0681eed08efb9f2458deecc0c9f10b14813ed321c63ff8fdc
107897,1,1076,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107897_solution_1.npz,71436,256fa5ea98c935c6b5093b729fd0851c7653429eed5de5681a00434632f1a3bf
107898,1,3485,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107898_solution_1.npz,208847,52d4ab2c71f85c0852e7e6c3c7d8f31dce72bd11b937870cbe0b068361cabc15
107936,1,810,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107936_solution_1.npz,55940,96e9d2b771e2c2d03a35046754453254c66f714653680be98ea0d8ba63af33ca
107938,1,472,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107938_solution_1.npz,35026,b4dfa17b3de882a7abcb83c7d0060f09bc7c9bca1deddf189d12ec27d0461423
107962,1,252,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107962_solution_1.npz,21677,d760f823a87fb428aeee58bc679dda1d6984a0c6428628d290a5c7bc09302641
107963,1,1174,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107963_solution_1.npz,78545,d7f750b3a616e9209ba5d8226047575baa6b8b4d60e4cf3ec209512dc034d42c
107970,1,5411,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107970_solution_1.npz,304026,9d5e9743cda8d2d14b0b0949d7e89a4e1e4cf03ad92d692b077fd3af9959136b
107971,1,3752,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107971_solution_1.npz,218546,db4e42e03a14ee2189730e9c576682ca04b36b29855787c02926232b005203d0
107978,1,1167,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107978_solution_1.npz,73415,b5bf699f409a01b29c36b7518773ef77c92a10c960e6ff3a0a9fc722d7d956fb
