scan_id,relative_path,size_bytes,sha256
4500,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4500.npz,803488,def382be257fb1fce9b449691c83d0acfe0cfee6f1583cfd33dc0d20cfb9d74e
4565,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4565.npz,431111,6bd9d96b215dbec759aab9a3213a14093ca768b2b7ec658d84d4eba1b3986b79
4566,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4566.npz,464569,2444cdf86a4db6c034af78e9fa77b179c05f1d27ff546f0bc07656129db0d00a
4582,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4582.npz,1526226,33e7e14d94d55833417d6e7653d929dd68792499a46b196adc2c3973427591a5
4583,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4583.npz,1555794,ffb4c4df72b0689c72dff0acf5bcdb1eb80a7006139dd62d77f593ec5da2ec08
4614,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4614.npz,340488,c904999bd4a200ef26779a8b47ad963ce6a069ad7a66dd172314e9398e1d87d4
4615,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4615.npz,318827,42c5dee94fe01d2bc351ef3c4e6e66516dcd60fdb540b18f17eeeaf8018f18ce
4617,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4617.npz,610301,36fac15c8ea2cbd2a29707ebbcce850bca78a4a28efe120bf8cc2a128b37b598
4618,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4618.npz,647860,6bd2f068c556a0c5ad446c380de1c621198e31e28cfd468844ed4b8645046208
4633,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4633.npz,1892148,2e3a3df8c93d71df98dcb6c60801cb48e8d650d16f8830d0f6f2bf90d4583cd4
4634,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4634.npz,1910824,bbe8d22906f33e64c87a2c59c48f9215d7ebd9d0a1cee37d6c155c0f06b823f3
4673,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4673.npz,1564617,3ed73aa8fe39165a6c371ffd007cfc93dc2303917a29606f419f944ea4980b68
4674,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4674.npz,1593427,46d6bff36d71f34f373ff4263b59c28a3a282ecd330a7a98e71c8093792e5240
4729,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4729.npz,424123,4f3239bf8c82dc1b44fe5b0f29feaf1e2e98da652803c449084603cbbdd7a7be
4730,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4730.npz,373552,33086a3a42fdbee73a4a72a319ce8a54bf037c34b05ce770ddd3b43f1289336a
4748,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4748.npz,301591,5a348a655a79d9870df38a2a72a4b3622cca418340470cde84718690a44416c1
4749,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4749.npz,281913,8341e420d1da40560425a0e78a9f82939049ce07ed5ce842ce412595829e9ab5
4766,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4766.npz,241010,dc38127e901560b2c3116f17ab870e5fbf28068c3376adb8aa9bafb4ec7533ce
4767,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4767.npz,223071,96b1435548db0fb79e763b757639a5526ba347d4f185a5d2017f07377cca4ee6
4775,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4775.npz,358972,02ae38f2d8e16803c16338f7453f772fa6c4ee2c92e9ab2f1da364fcbd79502f
4776,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4776.npz,333975,bad73ab4a8b08ee28fd68cbcb8bc4fa6f33cb3a770de9cc24afe172c478cbac2
4807,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4807.npz,308432,5d4e2a733a87d14fa35bf26d159fcb512840d84f18a42b4935bba2454138b666
4808,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4808.npz,308684,00aa8d92172f4cf67c635728944d5968221f9bb77e8623d955cf565d0abdd18c
5021,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5021.npz,486026,8da7f6c2e0b8fce874dbb4b6d0090c0913a45995f2fad625ee43ffb2b4c62802
5022,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5022.npz,540195,b7a21eeb416afccfa32465f4c454de70867ca7aa6f42483f3205ee2307a14373
5025,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5025.npz,129224,b23c848cd997cb46d03fbb0827f71968b07ed15c159f48c4ed35ae459839ef5f
5026,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5026.npz,152446,c3586d0a3644bb5dc1b596cae0edcdb798b8ff37978dbb12fe3a53a87314be22
5027,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5027.npz,183191,ffe8c28a6f43426aaebeabb79eab0537c66b85e1d3637e79dc5f8a722cb99715
5028,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5028.npz,169072,a2e3e513556f9e1cbf5d711a19ff091b9d5075317fe5084d06eb140a3f49570e
5029,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5029.npz,190913,82688a654cb97cf4f45cfca5d03a7fb601627354003e840689d80671067fe29f
5030,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5030.npz,171133,fc41bbcba5de370dab43a8b74f3310c6b5624c35edc45e6f9200923ae2ef0e69
5031,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5031.npz,172119,fb86ef406b43d8e46a45c2aa9ac0d0d39b45f3ae5909fd91e4e6d925c24dc027
5032,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5032.npz,168094,8f76d4e5acff573824341a57e701eb38518890ad29fe2952be5b47c2abd86ee2
5654,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5654.npz,94359,8ecb867edefdf5ef60ffbf3b655dda0a98210fec4ddf859edfa84431cb8bdfdf
5655,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5655.npz,79700,5569fc07ed29fff3eb248ae4136a5c1345fa0427841f7464138de818a90c44b3
5656,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5656.npz,85487,5c6242a1b6b9135d9c26df0570ab85607f6f248bcef9bc81f04325679bd4c6b3
5657,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5657.npz,75645,b8c09fbf086e32a7dc7792064b3b245a07e306785ce607283dc4035bf210448f
5658,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5658.npz,69043,fa439eb0ca0c882c890ba1735b2737bd2b135af2f06f75f7dbb2ee729b4aa574
5659,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5659.npz,68378,9953583a74469048291f65361ef76b089a2bc256d73868b4f7d13315cb3441fe
5672,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5672.npz,102647,6af7259035502d3fbe31713bcd94f2fff1392e431cdd70abfc4527a1409d10e3
5673,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5673.npz,88461,e5dfd1c5a33bc611da81c5e50b2b068a6812b41d927626c61dce4f772e4b7807
5674,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5674.npz,140431,5dd956860bfa8eb25c59af92408cff51924e63e2117dabe732deb942603776e0
5675,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5675.npz,133525,20a9c743bd9a2b16ec945ef89b73c94d9051cc4a9c54009d45bc343d9eb411fb
5676,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5676.npz,112607,4386b5fbd418f0745d315b0928130f7ae47aa58fdeccfb2a6ef9dd8428bae722
5677,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5677.npz,106337,32764113c7c130ac6623bffe16da9ec9536fe4a992921cbe2031813b22cd8ac2
5678,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5678.npz,122950,5d316f987460429b7c5ce73d306d082e5d7ec49217dd884bfcac8454116368dd
5679,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5679.npz,138677,ba7e7ab979dce94ad0c5f46dd39892a2faa8ed107d770fc99d7b998c198d6d5e
5781,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5781.npz,232314,ec6c004692fc5e360b1609644e368378a08dd0b3e08fb0cc6e25f51c37d3e340
5782,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5782.npz,395984,40500c6cd062b7a87611ddbfe47ef42dd930922330ddac51547b4193c4c2f2de
5783,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5783.npz,219628,ff02e30b5fa199c975ac96ae92760f1facb2b7d84e0521ff280fc0458295370d
5784,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5784.npz,189306,134a557822d0ccd94780ba07e061d9cd1f4a552e0db69006992520957fd935d2
5785,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5785.npz,181830,617c8f09e2ebe3a23fd17851ac9332975d4fd629f2540db08ca00a1132611a3f
5786,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5786.npz,190727,71d14e1bfb8e7d9238cbd3fe971f1c0513eeeee8cb8c911d69ea7367977252e3
5912,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5912.npz,874516,99e04e8b89e16bd6f7487a7264bb0b5c47913d06ab324aa9d6b3e04e3bf21c2e
5913,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_5913.npz,850972,47250278d4efdbda7025219a5737e3a3daa55f447805724d04ad08d818bbdfc7
6069,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6069.npz,736126,37730908dc9bcb7e7a9896a702b5772929d5638f448cf793d049cb2939586b2d
6070,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6070.npz,738461,4114f456c58b6e29067147eb06a224579604569bce43f75ae918a2ae73a817d1
6073,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6073.npz,483677,98b14145515c45cd73f04d6e449ba52a3f59cb6f95e2ccd210c677e781b163b0
6074,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6074.npz,438733,b8d35c120b1fa5366cf6b12cd4d3208336357509444607d443c04da0a0a76bfd
6075,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6075.npz,756423,026e32152a35fe92f626c5450dfacb5043b97e736cfe604b214df21bc3d2f903
6076,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6076.npz,756564,b12719ea542fe7aa954c53da77341e8963545ab05659b2999e0f25a8c2790f37
6077,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6077.npz,690664,945874115c253d5da9a51c68886ce462507fc334090d19051dbf7f43d9d2b16f
