raw_match_row,physical_plate_id,scan_id,psf_sigma_px,injection_polarity,target_detector_snr,baseline_detector_sigma,n_positions,n_recovered,recovery_fraction,median_recovered_snr,min_recovered_snr,max_recovered_snr,n_quantization_clipped
294096,7665,9959,1.0,-1,3.5,704.2340324832011,24,6,0.25,4.191624054312514,4.013312486941526,4.642942250944831,0
294096,7665,9959,1.0,-1,4.0,704.2340324832011,24,11,0.4583333333333333,4.513550121504016,4.069817873106876,5.14314999839987,0
294096,7665,9959,1.0,-1,4.5,704.2340324832011,24,13,0.5416666666666666,4.93942113983562,4.093475216381568,5.6432518177844,0
294096,7665,9959,1.0,-1,5.0,704.2340324832011,24,21,0.875,5.068971241506887,4.186725629511694,6.142259788308492,0
294096,7665,9959,1.0,-1,6.0,704.2340324832011,24,24,1.0,5.649928710368513,4.224760820391971,7.141425152499909,0
294096,7665,9959,1.0,-1,8.0,704.2340324832011,24,24,1.0,7.649684282292992,6.224580574578181,9.141113555064415,0
294096,7665,9959,1.0,-1,10.0,704.2340324832011,24,24,1.0,9.64796252209943,8.22291621304938,11.139331724822348,0
294096,7665,9959,1.0,-1,12.0,704.2340324832011,24,24,1.0,11.64726389953284,10.222286873066839,13.138560595200039,0
294096,7665,9959,1.0,1,3.5,704.2340324832011,24,12,0.5,4.155512052227188,4.0103556482074385,5.271936512525689,0
294096,7665,9959,1.0,1,4.0,704.2340324832011,24,13,0.5416666666666666,4.645734133506204,4.2886093415227915,5.772340889585071,0
294096,7665,9959,1.0,1,4.5,704.2340324832011,24,18,0.75,5.0622744326583256,4.059254556416282,6.272507209708689,0
294096,7665,9959,1.0,1,5.0,704.2340324832011,24,23,0.9583333333333334,5.404350984638288,4.1825909000331665,6.771519698202818,0
294096,7665,9959,1.0,1,6.0,704.2340324832011,24,24,1.0,6.345459589351995,4.853753284671701,7.77082800904993,0
294096,7665,9959,1.0,1,8.0,704.2340324832011,24,24,1.0,8.345425485540218,6.853776394263105,9.770739236180429,0
294096,7665,9959,1.0,1,10.0,704.2340324832011,24,24,1.0,10.343314234936276,8.851824124721157,11.768476074584093,0
294096,7665,9959,1.0,1,12.0,704.2340324832011,24,24,1.0,12.342544692799592,10.851154863407745,13.76761071122702,0
294096,7665,9959,2.0,-1,3.5,704.2340324832011,24,8,0.3333333333333333,4.359223839975694,4.029539308678533,5.236411336302779,0
294096,7665,9959,2.0,-1,4.0,704.2340324832011,24,16,0.6666666666666666,4.451638422891582,4.036011347959095,5.618050740093915,0
294096,7665,9959,2.0,-1,4.5,704.2340324832011,24,23,0.9583333333333334,4.6111508760884306,4.07107619966518,5.999324171121872,0
294096,7665,9959,2.0,-1,5.0,704.2340324832011,24,24,1.0,5.070383011224421,4.4173267750194505,6.381995380138194,0
