raw_match_row,population,selection_role,physical_plate_id,scan_id,archive_family,filename_scan,scan_epoch_isot,scan_epoch_source,wcs_key,registration_mode,registration_window_arcmin,registration_refs,registration_shift_east_arcsec,registration_shift_north_arcsec,gaia_propagated_rows,gaia_pm_incomplete_rows,reciprocal_gaia_detector_matches_15arcsec,registration_refs_corrected_le3_arcsec,baseline_detector_peak_count,strict_native_recurrence,strict_native_peak_count,diagnostic_native_peak_count,closest_corrected_peak_sep_arcsec,closest_peak_detector_snr,closest_peak_polarity,forced_target_residual_sigma,science_pair_reference_snr,injection_run,injection_positions,worst_sixway_90pct_recovery_snr,injection_sensitivity_reason,sensitivity_qualified_negative,candidate_disposition_changed
293349,PRIMARY_424,POSITIVE_STRICT_RECURRENCE_CONTROL,53484,60247,BAMBERG,DR4/scans/Bamberg-South/011465_1964_h.fits,1964-11-26T23:38:00.000,DATE-AVG, ,PRIMARY,10.0,10,1.7923679677780013,-4.585010583127539,12069,120,77,2,170,False,0,0,99.92709067001937,8.894959478364239,-1,-2.313336148324855,7.029073262992245,True,24,6.0,QUALIFIED,True,False
293349,PRIMARY_424,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,113642,BAMBERG,DR4/scans/Bamberg-North/012160_1953_h.fits,1953-03-05T20:18:30.000,DATE-AVG, ,PRIMARY,20.0,7,-4.789381355712144,0.5923337995745542,12069,120,15,0,58,False,0,0,71.3247587114318,10.893252704024603,-1,-3.421323231230254,7.029073262992245,True,24,6.0,QUALIFIED,True,False
293349,PRIMARY_424,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,89595,114131,BAMBERG,DR4/scans/Bamberg-North/012688_1953_h.fits,1953-12-04T19:20:00.000,DATE-AVG, ,PRIMARY,20.0,5,6.245044673631232,0.8600480881119065,12069,120,9,0,64,False,0,0,385.197026197244,15.000852676702975,-1,0.3068776826103686,7.029073262992245,True,24,6.0,QUALIFIED,True,False
293470,PRIMARY_424,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7526,9698,HAMBURG,DR4/scans/HAM-LA/LA08001_y.fits,1953-04-10T20:02:33.000,DATE-AVG, ,PRIMARY,10.0,19,-1.0897673072044365,-2.7353691112856153,10320,104,165,5,446,False,0,0,70.17333300661234,5.012324483846753,-1,-3.0726883590738483,15.724045987777178,True,24,6.0,QUALIFIED,True,False
293470,PRIMARY_424,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,8285,10815,HAMBURG,DR4/scans/HAM-LA/LA08773_x.fits,1956-03-03T19:44:51.000,DATE-AVG, ,PRIMARY,5.0,8,2.0535735088707616,0.8607273370764554,10320,104,216,0,571,False,0,0,5.188973736728437,4.719483037295088,-1,-1.1493254268206843,15.724045987777178,True,24,5.0,QUALIFIED,True,False
293470,PRIMARY_424,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,8369,10960,HAMBURG,DR4/scans/HAM-LA/LA08860_x.fits,1959-02-28T19:01:08.000,DATE-AVG, ,PRIMARY,5.0,14,-1.159393080567619,-5.512522200998966,10320,104,445,1,1584,False,0,0,5.8493911770796885,7.319427353455194,-1,-1.0937974205857295,15.724045987777178,True,24,6.0,QUALIFIED,True,False
293470,PRIMARY_424,POSITIVE_STRICT_RECURRENCE_CONTROL,80726,105655,BAMBERG,DR4/scans/Bamberg-North/003789_1931_h.fits,1931-12-31T19:58:00.000,DATE-AVG, ,PRIMARY,20.0,9,-2.718716324473721,-0.1912701003612317,10320,104,16,2,50,False,0,0,15.053850455066993,7.999962856326643,-1,-6.21103346010861,15.724045987777178,True,24,6.0,QUALIFIED,True,False
293470,PRIMARY_424,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,113642,BAMBERG,DR4/scans/Bamberg-North/012160_1953_h.fits,1953-03-05T20:18:30.000,DATE-AVG, ,PRIMARY,20.0,7,-4.210412066787469,-2.084263361781998,10320,104,10,2,55,False,0,0,37.973273901418885,5.7751973559616365,-1,-3.4213948873230424,15.724045987777178,True,24,6.0,QUALIFIED,True,False
293470,PRIMARY_424,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,90160,114694,BAMBERG,DR4/scans/Bamberg-North/013251_1958_h.fits,1958-12-02T00:35:00.000,DATE-AVG, ,SPARSE,30.0,4,3.641350565042395,-0.06629920877365758,10320,104,4,0,15,False,0,0,610.773348222179,7.28101336087207,-1,,15.724045987777178,False,0,,NOT_RUN,False,False
293565,DIAGNOSTIC_179,POSITIVE_STRICT_RECURRENCE_CONTROL,5367,6637,HAMBURG,DR4/scans/HAM-LA/LA05690_x.fits,1939-11-17T21:24:55.000,DATE-AVG, ,PRIMARY,5.0,67,-0.3212088148465815,0.878705541844335,12680,125,1553,14,4665,False,0,1,4.587499663947267,5.67826952313649,-1,-3.73936839225733,4.275070924148835,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293565,DIAGNOSTIC_179,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,7637,9905,HAMBURG,DR4/scans/HAM-LA/LA08113_x.fits,1953-10-11T23:29:33.000,DATE-AVG, ,PRIMARY,5.0,113,0.3534241695130611,-0.3521891893191342,12680,125,1343,29,4940,False,0,0,8.942190621340405,4.841856264214691,-1,-1.6668443998618534,4.275070924148835,True,24,,MISSING_90_PERCENT_THRESHOLD,False,False
293565,DIAGNOSTIC_179,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7679,9986,HAMBURG,DR4/scans/HAM-LA/LA08157_x.fits,1953-11-25T21:15:01.000,DATE-AVG, ,PRIMARY,5.0,133,0.3126850744016769,-0.45041677119982126,12680,125,938,15,3644,False,0,0,6.046599875202086,4.555369686359729,1,3.3934267265516334,4.275070924148835,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293565,DIAGNOSTIC_179,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7688,10002,HAMBURG,DR4/scans/HAM-LA/LA08168_x.fits,1953-12-05T20:47:09.000,DATE-AVG, ,PRIMARY,5.0,155,0.39415282311494865,0.4780738986256552,12680,125,1324,19,4990,False,0,0,10.741216704963758,11.69837821714705,1,4.977756657352492,4.275070924148835,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293565,DIAGNOSTIC_179,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,113642,BAMBERG,DR4/scans/Bamberg-North/012160_1953_h.fits,1953-03-05T20:18:30.000,DATE-AVG, ,PRIMARY,20.0,5,-2.9100865298502394,2.1188539803077937,12680,125,19,1,51,False,0,0,70.97123497518521,8.534818547794847,-1,-0.553892316188983,4.275070924148835,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293565,DIAGNOSTIC_179,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,90160,114694,BAMBERG,DR4/scans/Bamberg-North/013251_1958_h.fits,1958-12-02T00:35:00.000,DATE-AVG, ,PRIMARY,30.0,5,1.8524289950099813,4.757713024504763,12680,125,6,1,33,False,0,0,101.42805122136045,4.981085828616494,-1,0.2923608070447998,4.275070924148835,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293614,DIAGNOSTIC_179,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7665,9959,HAMBURG,DR4/scans/HAM-LA/LA08142_x.fits,1953-11-10T22:14:59.000,DATE-AVG, ,PRIMARY,5.0,12,0.2850110883396285,0.43143339308958245,10155,109,262,5,649,False,0,0,122.0157546893129,4.31512456379866,1,1.3604690920509113,4.150621734474684,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293614,DIAGNOSTIC_179,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7691,10008,HAMBURG,DR4/scans/HAM-LA/LA08171_x.fits,1953-12-28T18:43:18.000,DATE-AVG, ,PRIMARY,5.0,13,0.8840813794841175,0.019241290394285997,10155,109,449,6,1189,False,0,0,15.266126228770958,4.200813601919963,-1,-0.352356231393419,4.150621734474684,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
