canonical_order,pair_set,legacy_rank,pair_key,exposure_a,archive_a,site_a,start_a_utc,end_a_utc,duration_a_s,ra_a_deg,dec_a_deg,fov_a_deg,exposure_b,archive_b,site_b,start_b_utc,end_b_utc,duration_b_s,ra_b_deg,dec_b_deg,fov_b_deg,midpoint_delta_minutes,actual_exposure_overlap_s,actual_exposure_overlap_minutes,overlap_fraction_a,overlap_fraction_b,center_separation_deg,approx_overlap_fraction_smaller,true_wcs_overlap_fraction,true_wcs_intersection,saved_status,saved_notes,id_integrity,pre_freeze_touched,pre_freeze_reason,publication_cohort,production_action
21,POSS47,25.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44306 | POSS-I:1023:O:rec799,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44306,Harvard DASCH,DASCH unresolved,1954-04-02T09:03:00.000004360+00:00,1954-04-02T10:02:00.000004360+00:00,3540.0,190.7498314054962,19.245989624898293,89.97230392710031,POSS-I:1023:O:rec799,POSS-I Palomar,Palomar Observatory,1954-04-02T09:28:00+00:00,1954-04-02T09:40:00+00:00,720.0,205.97708333333333,-18.72861111111111,6.5,1.4999999166666669,720.0,12.0,0.2033898305084746,1.0,40.80899208643984,1.0,1.0,True,,,unique_recno_resolved,True,exploratory result invalidated; clean rec799 rerun required,development_revalidation,rerun_or_complete_under_protocol_v1
22,POSS47,26.0,DASCH:ivo://org.gavo.dc/~?dasch/q/kh00163 | POSS-I:297:O:rec635,DASCH:ivo://org.gavo.dc/~?dasch/q/kh00163,Harvard DASCH,DASCH unresolved,1951-07-31T07:00:59.999998098+00:00,1951-07-31T07:59:59.999998098+00:00,3540.0,318.92183746303897,-8.22743775849268,80.56614408599904,POSS-I:297:O:rec635,POSS-I Palomar,Palomar Observatory,1951-07-31T07:26:00+00:00,1951-07-31T07:38:00+00:00,720.0,301.8558333333333,0.42,6.5,1.5000000166666667,720.0,12.0,0.2033898305084746,1.0,19.08160621491753,1.0,1.0,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
23,POSS47,46.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43235 | POSS-I:297:O:rec635,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43235,Harvard DASCH,DASCH unresolved,1951-07-31T07:00:59.999998098+00:00,1951-07-31T07:59:59.999998098+00:00,3540.0,324.7411304837886,39.22089161884868,83.78054776256153,POSS-I:297:O:rec635,POSS-I Palomar,Palomar Observatory,1951-07-31T07:26:00+00:00,1951-07-31T07:38:00+00:00,720.0,301.8558333333333,0.42,6.5,1.5000000166666667,720.0,12.0,0.2033898305084746,1.0,44.081709339580094,0.1027606717088074,0.7934,True,,,unique_recno_resolved,True,exploratory partial,development_revalidation,rerun_or_complete_under_protocol_v1
24,POSS47,27.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44088 | POSS-I:872:O:rec148,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44088,Harvard DASCH,DASCH unresolved,1953-10-29T04:02:59.999994720+00:00,1953-10-29T04:59:59.999994720+00:00,3420.0,358.7816980847031,24.03324103313265,91.59320470304624,POSS-I:872:O:rec148,POSS-I Palomar,Palomar Observatory,1953-10-29T04:27:00+00:00,1953-10-29T04:39:00+00:00,720.0,343.5195833333333,54.77055555555555,6.5,1.5000000833333331,720.0,12.0,0.2105263157894736,1.0,32.76062533354958,1.0,1.0,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
25,nonPOSS27,,APPLAUSE:12422 | APPLAUSE:139006,APPLAUSE:12422,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T22:03:01+00:00,1951-09-01T22:03:31+00:00,30.0,301.647,35.5585,5.0,APPLAUSE:139006,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T21:49:00+00:00,1951-09-01T22:21:00+00:00,1920.0,303.6933,36.8,5.0,1.7333333333333334,30.0,0.5,1.0,0.015625,2.066185774218204,,,,parked_manual_astrometric_solve,1 Sep 1951 Hamburg/Vatican family: Hamburg plate has DR4 source_calib; corresponding Vatican plate 95874/95875/95876 has none. Manual astrometric solve/pixel comparison required.,not_applicable,True,pre-existing queue status=parked_manual_astrometric_solve,development_revalidation,rerun_or_complete_under_protocol_v1
26,nonPOSS27,,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-19T19:22:29+00:00,1951-09-19T19:22:59+00:00,30.0,301.6465,35.5583,5.0,APPLAUSE:139010,Zeiss Double Astrograph,Vatican Observatory,1951-09-19T19:17:00+00:00,1951-09-19T19:32:00+00:00,900.0,298.9171,39.3307,5.0,1.7666666666666666,30.0,0.5,1.0,0.0333333333333333,4.349922337287497,,,,negative_calibrated_catalogue,Six <=3 arcsec matches collapse to one Gaia star repeated by Hamburg multi-exposure plate; no non-Gaia match.,not_applicable,True,pre-existing queue status=negative_calibrated_catalogue,development_revalidation,rerun_or_complete_under_protocol_v1
27,POSS47,40.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44291 | POSS-I:1009:O:rec785,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44291,Harvard DASCH,DASCH unresolved,1954-03-27T04:00:00.000006076+00:00,1954-03-27T04:34:00.000006076+00:00,2040.0,102.75650601851956,20.074121186871213,91.56679591147524,POSS-I:1009:O:rec785,POSS-I Palomar,Palomar Observatory,1954-03-27T04:13:00+00:00,1954-03-27T04:25:00+00:00,720.0,121.62833333333332,-18.416944444444447,6.5,1.9999998833333328,720.0,12.0,0.3529411764705882,1.0,42.70956522433958,0.992215405574893,1.0,True,,,unique_recno_resolved,True,exploratory partial,development_revalidation,rerun_or_complete_under_protocol_v1
28,POSS47,16.0,POSS-I:782:E:rec514 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13182,POSS-I:782:E:rec514,POSS-I Palomar,Palomar Observatory,1953-08-13T06:10:00+00:00,1953-08-13T06:55:00+00:00,2700.0,295.6983333333333,12.34027777777778,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13182,Harvard DASCH,DASCH unresolved,1953-08-13T06:04:59.999997207+00:00,1953-08-13T07:03:59.999997207+00:00,3540.0,306.20320856448984,0.6186811002936122,90.24375322550516,1.99999995,2700.0,45.0,1.0,0.7627118644067796,15.6825957105648,1.0,1.0,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
29,POSS47,17.0,POSS-I:876:E:rec239 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13273,POSS-I:876:E:rec239,POSS-I Palomar,Palomar Observatory,1953-10-31T04:40:00+00:00,1953-10-31T05:25:00+00:00,2700.0,346.6804166666667,42.78444444444444,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13273,Harvard DASCH,DASCH unresolved,1953-10-31T04:34:59.999997207+00:00,1953-10-31T05:33:59.999997207+00:00,3540.0,1.2580457758326131,33.62761288676103,90.50441874448256,1.99999995,2700.0,45.0,1.0,0.7627118644067796,14.628489303864802,1.0,1.0,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
30,nonPOSS27,,APPLAUSE:139011 | APPLAUSE:12566,APPLAUSE:139011,Zeiss Double Astrograph,Vatican Observatory,1951-09-19T19:38:00+00:00,1951-09-19T19:53:00+00:00,900.0,298.9171,39.3307,5.0,APPLAUSE:12566,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-19T19:47:25+00:00,1951-09-19T19:47:55+00:00,30.0,301.6465,35.5583,5.0,2.1666666666666665,30.0,0.5,0.0333333333333333,1.0,4.349922337287497,,,,negative_calibrated_catalogue,Six <=3 arcsec matches collapse to one Gaia star; no non-Gaia match.,not_applicable,True,pre-existing queue status=negative_calibrated_catalogue,development_revalidation,rerun_or_complete_under_protocol_v1
