attempts,created_at,db_path,job_key,last_error,payload_json,result_json,stage,status,updated_at
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480031091,,"{""dec_deg"": 27.61577634710582, ""ra_deg"": 290.60095189938625, ""source_id"": ""40095480031091""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480031091.fits"", ""cutout_sha256"": ""270bff2cbb313ec37a37df6a8c5bbd45acd3cc0c79a8d494dbf817849f6fc832"", ""median_residual"": -5.523383938991174, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 62.519882922033325, ""nearest_peak_snr"": 5.187788730917357, ""nearest_peak_x"": 406, ""nearest_peak_y"": 375, ""peak_count"": 67, ""plate_id"": ""bi05607"", ""sigma"": 84.49729093489128, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:35:29.834481+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480031096,,"{""dec_deg"": 27.713759967806663, ""ra_deg"": 295.1021346672288, ""source_id"": ""40095480031096""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480031096.fits"", ""cutout_sha256"": ""5aa5d01624c6c294abd331bffec26619d05c769d543665c20f30be28784e04a8"", ""median_residual"": -4.016361997018521, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 168.0856552249457, ""nearest_peak_snr"": 4.068302269292194, ""nearest_peak_x"": 301, ""nearest_peak_y"": 404, ""peak_count"": 29, ""plate_id"": ""bi05607"", ""sigma"": 68.18736419316019, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:35:33.858948+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480031319,,"{""dec_deg"": 27.72459235493236, ""ra_deg"": 295.48669773578416, ""source_id"": ""40095480031319""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480031319.fits"", ""cutout_sha256"": ""bd3621f6f0e8b1375dfc9f21d71a29ebd7fd9b3afc8fd4fe1f26d1f6a826c6c7"", ""median_residual"": -4.0631112570204095, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 43.22399270450162, ""nearest_peak_snr"": 4.903975484775131, ""nearest_peak_x"": 418, ""nearest_peak_y"": 447, ""peak_count"": 36, ""plate_id"": ""bi05607"", ""sigma"": 66.88043740515435, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:35:37.835448+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480033029,,"{""dec_deg"": 27.81064771338946, ""ra_deg"": 296.7635707238226, ""source_id"": ""40095480033029""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480033029.fits"", ""cutout_sha256"": ""62a3ddd6fca627bc1ddc03f5f071b344fbac6ebbc4a25ecf83882103ee9f1bb0"", ""median_residual"": -3.7599702604748018, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 171.41440567153438, ""nearest_peak_snr"": 4.143327624226073, ""nearest_peak_x"": 354, ""nearest_peak_y"": 316, ""peak_count"": 41, ""plate_id"": ""bi05607"", ""sigma"": 57.73844907737777, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:35:42.186272+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480037015,,"{""dec_deg"": 27.840430728793514, ""ra_deg"": 289.52408347529973, ""source_id"": ""40095480037015""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480037015.fits"", ""cutout_sha256"": ""4fa4daf4b9c3ca2bd4d25088cf74aa72a71cce5d70b1bd22909f5f145c6341ff"", ""median_residual"": -3.478767556322964, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 73.43999689620284, ""nearest_peak_snr"": 4.475454641414193, ""nearest_peak_x"": 441, ""nearest_peak_y"": 462, ""peak_count"": 31, ""plate_id"": ""bi05607"", ""sigma"": 66.67858348591771, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:35:46.641998+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480038936,,"{""dec_deg"": 28.04970039049318, ""ra_deg"": 298.3193314660185, ""source_id"": ""40095480038936""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480038936.fits"", ""cutout_sha256"": ""3dc71f853aafb90fddedefbfee28ece57564db16f3211ceb95f8efa494a794c1"", ""median_residual"": -5.208927945607684, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 60.548530859447254, ""nearest_peak_snr"": 5.139990379437593, ""nearest_peak_x"": 455, ""nearest_peak_y"": 435, ""peak_count"": 57, ""plate_id"": ""bi05607"", ""sigma"": 80.97268952096105, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:35:50.551699+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480039213,,"{""dec_deg"": 28.0107663765449, ""ra_deg"": 300.42729670607207, ""source_id"": ""40095480039213""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480039213.fits"", ""cutout_sha256"": ""8a6a243d53193f1e88c575ff1eac35bb45eb6d1434ddb7a4324e4986df37f486"", ""median_residual"": -4.779732087094089, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 50.56430260137328, ""nearest_peak_snr"": 4.995312397904429, ""nearest_peak_x"": 405, ""nearest_peak_y"": 384, ""peak_count"": 36, ""plate_id"": ""bi05607"", ""sigma"": 73.2992924510592, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:35:54.839817+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480040875,,"{""dec_deg"": 28.00093059459885, ""ra_deg"": 289.5614798040776, ""source_id"": ""40095480040875""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480040875.fits"", ""cutout_sha256"": ""bfa888a6a52673d14130af9692f2e46ddf5255c5680110900886b8e2b3e5d0f4"", ""median_residual"": -3.799827298181299, ""nearest_peak_polarity"": -1, ""nearest_peak_sep_arcsec"": 84.51953147343052, ""nearest_peak_snr"": 4.926055952375822, ""nearest_peak_x"": 394, ""nearest_peak_y"": 363, ""peak_count"": 32, ""plate_id"": ""bi05607"", ""sigma"": 66.50740318562666, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:35:59.200981+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480041388,,"{""dec_deg"": 28.051374718825265, ""ra_deg"": 290.37469319654605, ""source_id"": ""40095480041388""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480041388.fits"", ""cutout_sha256"": ""2b6e2d49a0776dcb4c14565329febbc901c466033b36e48d96a87fb9b6d56a4d"", ""median_residual"": -5.060766082585815, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 45.10212339996643, ""nearest_peak_snr"": 4.657177582040782, ""nearest_peak_x"": 447, ""nearest_peak_y"": 426, ""peak_count"": 70, ""plate_id"": ""bi05607"", ""sigma"": 81.70221668678019, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:36:03.610347+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480042516,,"{""dec_deg"": 28.087339943603236, ""ra_deg"": 290.17666782712746, ""source_id"": ""40095480042516""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480042516.fits"", ""cutout_sha256"": ""f612aa33aab455ae02fb067b8debe17e22099ea2dea0e58b46a38ffa95487df0"", ""median_residual"": -3.269171652008481, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 92.9330018396897, ""nearest_peak_snr"": 4.043626729149035, ""nearest_peak_x"": 354, ""nearest_peak_y"": 431, ""peak_count"": 63, ""plate_id"": ""bi05607"", ""sigma"": 70.41135377556297, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:36:07.943812+00:00
