rank,exposure_a,archive_a,site_a,start_a_utc,duration_a_s,ra_a_deg,dec_a_deg,fov_a_deg,exposure_b,archive_b,site_b,start_b_utc,duration_b_s,ra_b_deg,dec_b_deg,fov_b_deg,midpoint_delta_minutes,center_sep_deg,overlap_fraction_smaller,interval_overlap_s,involves_poss,score,true_wcs_overlap_fraction_poss_approx,true_wcs_intersection
25,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44306,Harvard DASCH,DASCH unresolved,1954-04-02 09:03:00.000004360+00:00,3540.0,190.7498314054962,19.245989624898293,89.97230392710031,POSS-I:1023:O,POSS-I Palomar,Palomar Observatory,1954-04-02 09:28:00+00:00,720.0,205.97708333333333,-18.72861111111111,6.5,1.4999999166666669,40.80899208643984,1.0,720.0,True,85,1.0,True
26,DASCH:ivo://org.gavo.dc/~?dasch/q/kh00163,Harvard DASCH,DASCH unresolved,1951-07-31 07:00:59.999998098+00:00,3540.0,318.92183746303897,-8.22743775849268,80.56614408599904,POSS-I:297:O,POSS-I Palomar,Palomar Observatory,1951-07-31 07:26:00+00:00,720.0,301.8558333333333,0.42,6.5,1.5000000166666667,19.08160621491753,1.0,720.0,True,85,1.0,True
27,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44088,Harvard DASCH,DASCH unresolved,1953-10-29 04:02:59.999994720+00:00,3420.0,358.7816980847031,24.03324103313265,91.59320470304624,POSS-I:872:O,POSS-I Palomar,Palomar Observatory,1953-10-29 04:27:00+00:00,720.0,343.5195833333333,54.77055555555555,6.5,1.5000000833333331,32.76062533354958,1.0,720.0,True,85,1.0,True
28,POSS-I:989:O,POSS-I Palomar,Palomar Observatory,1954-02-26 05:56:00+00:00,720.0,121.36208333333336,35.59388888888889,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44247,Harvard DASCH,DASCH unresolved,1954-02-26 05:34:59.999983792+00:00,3540.0,104.2639607749366,19.82181706456012,90.63511977383725,2.4999997166666663,21.79159142261588,1.0,720.0,True,85,1.0,True
29,POSS-I:1405:O,POSS-I Palomar,Palomar Observatory,1955-04-21 05:52:00+00:00,720.0,187.85791666666668,-0.8013888888888889,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44487,Harvard DASCH,DASCH unresolved,1955-04-21 05:32:59.999994720+00:00,3420.0,165.2967225838179,19.82341073489281,91.64400464428468,3.4999999,30.24044996546522,1.0,720.0,True,85,1.0,True
30,POSS-I:988:O,POSS-I Palomar,Palomar Observatory,1954-02-26 04:53:00+00:00,720.0,107.54958333333332,41.77222222222222,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44246,Harvard DASCH,DASCH unresolved,1954-02-26 04:31:00.000004592+00:00,3780.0,89.41596671461812,21.557509087228787,90.84400297445664,3.5000000666666664,25.31722806439233,1.0,720.0,True,85,1.0,True
31,POSS-I:236:O,POSS-I Palomar,Palomar Observatory,1951-02-04 06:49:00+00:00,720.0,122.08666666666667,17.575555555555557,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/kg00061,Harvard DASCH,DASCH unresolved,1951-02-04 06:16:59.999986352+00:00,5160.0,157.818242994963,21.91059119875947,80.37922768813597,4.999999766666666,33.83441407053321,1.0,720.0,True,85,0.0,False
32,POSS-I:236:O,POSS-I Palomar,Palomar Observatory,1951-02-04 06:49:00+00:00,720.0,122.08666666666667,17.575555555555557,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/kg00060,Harvard DASCH,DASCH unresolved,1951-02-04 06:12:59.999986825+00:00,5640.0,136.6869755807516,22.076567762040565,74.31886450321669,4.999999766666666,14.444840311045432,1.0,720.0,True,85,1.0,True
33,POSS-I:372:O,POSS-I Palomar,Palomar Observatory,1951-09-21 04:25:00+00:00,600.0,301.62875,18.414166666666667,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43336,Harvard DASCH,DASCH unresolved,1951-09-21 04:01:59.999996409+00:00,3480.0,328.4132975899006,19.759895629458995,91.5253759370241,0.9999999333333334,25.32187284099428,1.0,600.0,True,85,1.0,True
34,POSS-I:313:O,POSS-I Palomar,Palomar Observatory,1951-08-08 08:26:00+00:00,600.0,349.82916666666665,12.786944444444444,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43246,Harvard DASCH,DASCH unresolved,1951-08-08 08:03:00.000019658+00:00,3480.0,344.4909348859268,20.952230866575867,91.11318374242876,1.0000003166666669,9.628647113087204,1.0,600.0,True,85,1.0,True
