launch_id,year,launch_date_utc,launch_datetime_utc,time_precision,raw_date_time,rocket,payload,flight_number,launch_site,launch_service_provider,operator,trajectory_class,function,decay_or_impact_date_utc,outcome,remarks,source_url,source_tier
L0148,1953,1953-07-22,1953-07-22T09:47:00Z,minute,22 July 09:47,Aerobee RTV-A-1a,,USAF 41,Holloman LC-A,US Air Force,AFCRC,Suborbital,Aeronomy,23 July,Successful,Apogee: 95.6 kilometres (59.4 mi)[8]: 125–126,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0149,1953,1953-07-24,1953-07-24T16:40:00Z,minute,24 July 16:40,Deacon Rockoon,,SUI 12,"USS Staten Island, Labrador Sea",US Navy,University of Iowa,Suborbital,Cosmic Radiation,24 July,Launch failure,"Balloon cut down, rocket failed to fire[8]: 314",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0150,1953,1953-07-28,1953-07-28T09:41:00Z,minute,28 July 09:41,Deacon Rockoon,,SUI 13,"USS Staten Island, southern Davis Strait, near Baffin Island",US Navy,University of Iowa,Suborbital,Cosmic Radiation,28 July,Successful,Apogee: 88.4 kilometres (54.9 mi)[8]: 314,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0151,1953,1953-08-03,1953-08-03T18:28:00Z,minute,3 August 18:28,Deacon Rockoon,,SUI 14,"USS Staten Island, Frobisher Bay",US Navy,University of Iowa,Suborbital,Cosmic Radiation,3 August,Successful,Apogee uncertain[8]: 314,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0152,1953,1953-08-05,1953-08-05T21:54:00Z,minute,5 August 21:54,Deacon Rockoon,,NRL Rockoon 1,"USS Staten Island, southern Davis Strait, near Baffin Island",US Navy,NRL,Suborbital,Aeronomy,5 August,,"Apogee: 79.2 kilometres (49.2 mi);[8]: 311 first of six 1953 NRL flights, three of which reached altitude and returned data[3]",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0153,1953,1953-08-06,1953-08-06T15:07:00Z,minute,6 August 15:07,Deacon Rockoon,,SUI 15,"USS Staten Island, Davis Strait",US Navy,University of Iowa,Suborbital,Cosmic Radiation,6 August,Successful,Apogee: 65.5 kilometres (40.7 mi)[8]: 314,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0154,1953,1953-08-06,1953-08-06T18:40:00Z,minute,6 August 18:40,Deacon Rockoon,,SUI 16,"USS Staten Island, Davis Strait",US Navy,University of Iowa,Suborbital,Cosmic Radiation,6 August,Successful,Apogee uncertain[8]: 315,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0155,1953,1953-08-08,1953-08-08T15:09:00Z,minute,8 August 15:09,Deacon Rockoon,,NRL Rockoon 2,"USS Staten Island, Baffin Bay",US Navy,NRL,Suborbital,Aeronomy,8 August,,"Apogee uncertain;[8]: 311 second of six 1953 NRL flights, three of which reached altitude and returned data[3]",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0156,1953,1953-08-09,1953-08-09T05:54:00Z,minute,9 August 05:54,Deacon Rockoon,,SUI 17,"USS Staten Island, Baffin Bay",US Navy,University of Iowa,Suborbital,Cosmic Radiation,9 August,Successful,Apogee: 99.1 kilometres (61.6 mi)[8]: 315,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0157,1953,1953-08-09,1953-08-09T19:15:00Z,minute,9 August 19:15,Deacon Rockoon,,NRL Rockoon 3,"USS Staten Island, Baffin Bay",US Navy,NRL,Suborbital,Aeronomy,9 August,Launch failure,"Apogee: 38.1 kilometres (23.7 mi);[8]: 311 third of six 1953 NRL flights, three of which reached altitude and returned data[3]",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0158,1953,1953-08-11,1953-08-11T17:09:00Z,minute,11 August 17:09,Deacon Rockoon,,NRL Rockoon 4,"USS Staten Island, Baffin Bay",US Navy,NRL,Suborbital,Aeronomy,11 August,,"Apogee: 80.8 kilometres (50.2 mi);[8]: 311 fourth of six 1953 NRL flights, three of which reached altitude and returned data[3]",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0159,1953,1953-08-30,1953-08-30T14:00:00Z,minute,30 August 14:00,Deacon Rockoon,,SUI 18,"USCGC Eastwind, Labrador Sea",US Coast Guard,University of Iowa,Suborbital,Cosmic Radiation,30 August,Launch failure,"(Balloon) Apogee: 13.4 kilometres (8.3 mi), rocket failed to fire[8]: 315",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0160,1953,1953-08-30,1953-08-30T16:20:00Z,minute,30 August 16:20,Deacon Rockoon,,SUI 19,"USCGC Eastwind, Labrador Sea",US Coast Guard,University of Iowa,Suborbital,Cosmic Radiation,30 August,Launch failure,"(Balloon) Apogee: 19.2 kilometres (11.9 mi), rocket failed to fire[8]: 315",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0161,1953,1953-08-30,1953-08-30T20:46:00Z,minute,30 August 20:46,Deacon Rockoon,,SUI 20,"USCGC Eastwind, Labrador Sea",US Coast Guard,University of Iowa,Suborbital,Cosmic Radiation,30 August,Successful,Apogee: 103.6 kilometres (64.4 mi)[8]: 315,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0162,1953,1953-09-01,1953-09-01T05:10:00Z,minute,1 September 05:10,Aerobee XASR-SC-2,,SC 32,White Sands LC-35,US Army,SCEL,Suborbital,Aeronomy,1 September,Successful,"Apogee: 107.3 kilometres (66.7 mi), final flight of the Aerobee XASR-SC-2[8]: 251–252",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0163,1953,1953-09-03,1953-09-03T09:50:00Z,minute,3 September 09:50,Deacon Rockoon,,SUI 21,"USCGC Eastwind, Atlantic Ocean, east of Nova Scotia",US Coast Guard,University of Iowa,Suborbital,Cosmic Radiation,3 September,Successful,Apogee uncertain[8]: 316,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0164,1953,1953-09-03,1953-09-03T11:51:00Z,minute,3 September 11:51,Deacon Rockoon,,SUI 22,"USCGC Eastwind, Atlantic Ocean, east of Nova Scotia",US Coast Guard,University of Iowa,Suborbital,Cosmic Radiation,3 September,Successful,Apogee: 103.6 kilometres (64.4 mi)[8]: 316,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0165,1953,1953-09-03,1953-09-03T14:05:00Z,minute,3 September 14:05,Deacon Rockoon,,SUI 23,"USCGC Eastwind, Atlantic Ocean, east of Nova Scotia",US Coast Guard,University of Iowa,Suborbital,Cosmic Radiation,3 September,Successful,Apogee: 99.1 kilometres (61.6 mi)[8]: 316,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0166,1953,1953-09-04,1953-09-04T03:59:00Z,minute,4 September 03:59,Deacon Rockoon,,NRL Rockoon 5,"USCGC Eastwind, Atlantic Ocean, east of Nova Scotia",US Coast Guard,NRL,Suborbital,Aeronomy,4 September,,"Apogee: 67.1 kilometres (41.7 mi);[8]: 311 fifth of six 1953 NRL flights, three of which reached altitude and returned data[3]",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0167,1953,1953-09-04,1953-09-04T15:51:00Z,minute,4 September 15:51,Deacon Rockoon,,NRL Rockoon 6,"USCGC Eastwind, Atlantic Ocean, near Nova Scotia",US Coast Guard,NRL,Suborbital,Aeronomy,4 September,Launch Failure,"(Balloon) Apogee: 13.7 kilometres (8.5 mi), rocket failed to fire;[8]: 311 sixth of six 1953 NRL flights, three of which reached altitude and returned data[3]",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0168,1953,1953-09-05,1953-09-05T05:35:00Z,minute,5 September 05:35,Aerobee XASR-SC-1,,SC 33,White Sands LC-35,US Army,SCEL,Suborbital,Aeronomy,5 September,Successful,Apogee: 114 kilometres (71 mi)[8]: 253–254,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0169,1953,1953-09-15,1953-09-15T15:02:00Z,minute,15 September 15:02,Aerobee RTV-A-1a,,USAF 42,Holloman LC-A,US Air Force,AFCRC,Suborbital,Sky Brightness,15 September,Launch failure,"Apogee: 32 kilometres (20 mi), early cut-off due to a thrust chamber burn-through[8]: 127–128",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0170,1953,1953-09-29,1953-09-29T20:50:00Z,minute,29 September 20:50,Aerobee RTV-A-1a,,SC 31,White Sands LC-35,US Army,SCEL / University of Michigan,Suborbital,Aeronomy,29 September,Successful,Apogee: 58 kilometres (36 mi)[8]: 249–250,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0171,1953,1953-10-01,,day,1 October,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,1 October,Successful[11],R-1,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0172,1953,1953-10-07,1953-10-07T17:00:00Z,minute,7 October 17:00,Aerobee RTV-A-1a,,USAF 43,Holloman LC-A,US Air Force,AFCRC / University of Colorado,Suborbital,Solar UV,7 October,Successful,Apogee: 100 kilometres (62 mi)[8]: 129–130,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0173,1953,1953-10-10,,day,10 October,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,10 October,Successful[12],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0174,1953,1953-10-16,,day,16 October,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,16 October,Successful[9],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0175,1953,1953-10-17,,day,17 October,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,17 October,Successful[9],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0176,1953,1953-10-19,,day,19 October,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,19 October,Successful[9],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0177,1953,1953-10-20,,day,20 October,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,20 October,Successful[9],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0178,1953,1953-10-24,,day,24 October,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,24 October,Successful[12],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0179,1953,1953-10-26,,day,26 October,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,26 October,Successful[9],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0180,1953,1953-10-27,,day,27 October,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,27 October,Successful[9],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0181,1953,1953-10-28,,day,28 October,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,28 October,Successful[9],R-1,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0182,1953,1953-10-30,,day,30 October,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,30 October,Successful,Beginning of 2nd stage of experimental launches[10],https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0183,1953,1953-11-01,,day,1 November,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,1 November,Successful[11],R-1,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0184,1953,1953-11-02,1953-11-02T18:32:00Z,minute,2 November 18:32,Aerobee RTV-A-1a,,USAF 44,Holloman LC-A,US Air Force,AFCRC / University of Utah,Suborbital,Ionospheric,2 November,Successful,Apogee: 121 kilometres (75 mi)[8]: 131–132,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0185,1953,1953-11-03,,day,3 November,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,3 November,Successful[10],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0186,1953,1953-11-03,1953-11-03T18:15:00Z,minute,3 November 18:15,Aerobee RTV-A-1a,,USAF 45,Holloman LC-A,US Air Force,AFCRC / University of Utah,Suborbital,Ionospheric,3 November,Successful,Apogee: 121.5 kilometres (75.5 mi)[8]: 133–134,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0187,1953,1953-11-12,,day,12 November,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,12 November,Successful[9],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0188,1953,1953-11-15,,day,15 November,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,15 November,Successful[11],R-1,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0189,1953,1953-11-17,,day,17 November,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,17 November,Successful[10],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0190,1953,1953-11-19,1953-11-19T22:40:00Z,minute,19 November 22:40,Aerobee RTV-N-10,,NRL 14,White Sands LC-35,US Navy,NRL,Suborbital,Solar X-Ray / Solar UV / Aeronomy,19 November,Successful,Apogee: 112 kilometres (70 mi)[13],https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0191,1953,1953-11-21,,day,21 November,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,21 November,Successful[10],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0192,1953,1953-11-24,,day,24 November,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,24 November,Successful[9],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0193,1953,1953-11-25,1953-11-25T15:46:00Z,minute,25 November 15:46,Aerobee RTV-N-10,,NRL 15,White Sands LC-35,US Navy,NRL,Suborbital,Solar X-Ray / Solar UV / Aeronomy,25 November,Successful,Apogee: 95 kilometres (59 mi)[13],https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0194,1953,1953-11-26,,day,26 November,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,26 November,Partial failure[10],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0195,1953,1953-12-01,1953-12-01T15:30:00Z,minute,1 December 15:30,Aerobee RTV-N-10,,NRL 16,White Sands LC-35,US Navy,NRL,Suborbital,Solar X-Ray / Solar UV / Aeronomy,1 December,Successful,Apogee: 129 kilometres (80 mi)[13],https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0196,1953,1953-12-05,,day,5 December,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,5 December,Successful[10],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0197,1953,1953-12-09,,day,9 December,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,9 December,Successful,End of second experimental flight series[10],https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0198,1953,,,year_only_aggregate,,R-1,,,,,,Suborbital,Missile test,,,Aggregate series member 1/6; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1953_in_spaceflight,annual_statistics_reconciliation
L0199,1953,,,year_only_aggregate,,R-1,,,,,,Suborbital,Missile test,,,Aggregate series member 2/6; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1953_in_spaceflight,annual_statistics_reconciliation
L0200,1953,,,year_only_aggregate,,R-1,,,,,,Suborbital,Missile test,,,Aggregate series member 3/6; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1953_in_spaceflight,annual_statistics_reconciliation
L0201,1953,,,year_only_aggregate,,R-1,,,,,,Suborbital,Missile test,,,Aggregate series member 4/6; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1953_in_spaceflight,annual_statistics_reconciliation
L0202,1953,,,year_only_aggregate,,R-1,,,,,,Suborbital,Missile test,,,Aggregate series member 5/6; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1953_in_spaceflight,annual_statistics_reconciliation
L0203,1953,,,year_only_aggregate,,R-1,,,,,,Suborbital,Missile test,,,Aggregate series member 6/6; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1953_in_spaceflight,annual_statistics_reconciliation
L0204,1953,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 1/2; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1953_in_spaceflight,annual_statistics_reconciliation
L0205,1953,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 2/2; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1953_in_spaceflight,annual_statistics_reconciliation
L0206,1954,1954-02-02,1954-02-02T18:35:00Z,minute,2 February 18:35,Aerobee RTV-N-10,,NRL 20,White Sands LC-35,US Navy,NRL,Suborbital,Solar UV,2 February,Successful,Apogee: 101 kilometres (63 mi)[11],https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0207,1954,1954-02-20,,day,20 February,Véronique-NA[12],,,Hammaguir Bechar,LRBA,LRBA,Suborbital,Test flight,20 February,Launch failure,"Apogee: 29 kilometres (18 mi), maiden flight of the Véronique-NA[13]",https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0208,1954,1954-02-21,,day,21 February,Véronique-NA[12],,,Hammaguir Bechar,LRBA,LRBA,Suborbital,Test flight,21 February,Successful,"Apogee: 135 kilometres (84 mi), first French spaceflight[13]",https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0209,1954,1954-03-11,,day,11 March,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,11 March,Successful[14],,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0210,1954,1954-03-16,,day,16 March,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,16 March,Successful[14],R-1,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0211,1954,1954-03-20,,day,20 March,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,20 March,Successful[14],,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0212,1954,1954-04-09,1954-04-09T21:12:00Z,minute,9 April 21:12,Aerobee RTV-N-10,,NRL 18,White Sands LC-35,US Navy,NRL,Suborbital,Spectrometry,9 April,Successful,Apogee: 143 kilometres (89 mi)[11],https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0213,1954,1954-04-10,1954-04-10T09:00:00Z,minute,10 April 09:00,Aerobee RTV-N-10,,NRL 19,White Sands LC-35,US Navy,NRL,Suborbital,Spectrometry,10 April,Launch Failure,Apogee: 5 kilometres (3.1 mi)[11],https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0214,1954,1954-04-23,,day,23 April,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,23 April,Successful[14],,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0215,1954,1954-04-24,,day,24 April,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,24 April,Successful[14],,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0216,1954,1954-04-26,,day,26 April,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,26 April,Successful[14],,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0217,1954,1954-04-29,,day,29 April,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,29 April,Successful[14],,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0218,1954,,,unknown,May,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,Same Day,,"First of ten production missile test launches, eight of which were successful[15]",https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0219,1954,1954-05-03,,day,3 May,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,3 May,Successful[14],,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0220,1954,1954-05-04,,day,4 May,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,4 May,Successful[14],R-1,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0221,1954,1954-05-07,,day,7 May,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,7 May,Successful[14],,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0222,1954,1954-05-07,1954-05-07T17:00:00Z,minute,7 May 17:00,Viking (second model),,,White Sands LC-33,US Navy,NRL,Suborbital,Ionospheric / Aeronomy,7 May,Successful,Apogee: 219 kilometres (136 mi)[16],https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0223,1954,1954-05-11,1954-05-11T15:00:00Z,minute,11 May 15:00,Aerobee RTV-A-1a,,USAF 46,Holloman LC-A,US Air Force,AFCRC,Suborbital,Beacon test,11 May,Successful,Apogee: 98 kilometres (61 mi)[17]: 135–136,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0224,1954,1954-05-21,,day,21 May,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,21 May,Successful[14],,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0225,1954,1954-05-24,1954-05-24T17:00:00Z,minute,24 May 17:00,Viking (second model),,,White Sands LC-33,US Navy,NRL,Suborbital,REV test / Photography,24 May,Successful,Apogee: 254 kilometres (158 mi)[16],https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0226,1954,1954-05-26,1954-05-26T14:24:00Z,minute,26 May 14:24,A-1,,,Kapustin Yar,OKB-1,MVS,Suborbital,Ionospheric,26 May,Successful,"Apogee: 106 kilometres (66 mi), maiden flight of the A-1[18]",https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0227,1954,1954-06-02,1954-06-02T16:10:00Z,minute,2 June 16:10,Aerobee RTV-A-1a,,USAF 47,Holloman LC-A,US Air Force,AFCRC / University of Colorado,Suborbital,Solar UV,2 June,Successful,Apogee: 93 kilometres (58 mi)[17]: 137–138,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0228,1954,1954-06-08,,day,8 June,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,8 June,Successful[15],,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0229,1954,1954-06-09,,day,9 June,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,9 June,Successful[15],,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0230,1954,1954-06-11,,day,11 June,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,11 June,Successful[14],,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0231,1954,1954-06-12,,day,12 June,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,12 June,Successful[14],,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0232,1954,1954-06-14,,day,14 June,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,14 June,Successful[14],,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0233,1954,1954-06-26,1954-06-26T13:24:00Z,minute,26 June 13:24,R-1D,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Biology / Ionosphere / Aeronomy,26 June,Successful,"Apogee: 106 kilometres (66 mi), maiden flight of R-1D[19]",https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0234,1954,1954-07-02,,day,2 July,R-1D,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Biology / Ionosphere / Aeronomy,2 July,Successful,"Payload, instruments, left and right animal containers all recovered. Smoke container failed. Carried dogs Lyza and Ryjik.[19]",https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0235,1954,1954-07-07,,day,7 July,R-1D,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Biology / Ionosphere / Aeronomy,7 July,Successful,Final flight of the R-1D[19],https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0236,1954,1954-07-14,1954-07-14T13:55:00Z,minute,14 July 13:55,Aerobee RTV-A-1a,,USAF 48,Holloman LC-A,US Air Force,AFCRC / University of Michigan,Suborbital,Aeronomy,14 July,Successful,Apogee: 92 kilometres (57 mi)[17]: 139–140,https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0237,1954,1954-07-16,1954-07-16T12:13:00Z,minute,16 July 12:13,Deacon Rockoon,,SUI 24,"USS Atka,[20] Atlantic Ocean, 360 kilometres (220 mi) east of Boston",US Navy,University of Iowa,Suborbital,Ionospheric / Aeronomy,16 July,Launch failure[21],Apogee: 11 kilometres (6.8 mi)[4],https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0238,1954,1954-07-16,1954-07-16T21:58:00Z,minute,16 July 21:58,Deacon Rockoon,,SUI 25,"USS Atka, Atlantic Ocean, 360 kilometres (220 mi) east of Boston",US Navy,University of Iowa,Suborbital,Ionospheric / Aeronomy,16 July,Launch failure,Apogee: 11 kilometres (6.8 mi)[21],https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0239,1954,1954-07-19,1954-07-19T16:00:00Z,minute,19 July 16:00,Deacon Rockoon,,NRL Rockoon 7,"USS Atka, Labrador Sea",US Navy,NRL,Suborbital,Aeronomy,19 July,Successful,Apogee: 88 kilometres (55 mi)[21],https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0240,1954,1954-07-19,1954-07-19T20:30:00Z,minute,19 July 20:30,Deacon Rockoon,,SUI 26,"USS Atka, Labrador Sea",US Navy,University of Iowa,Suborbital,Ionospheric / Aeronomy,19 July,Spacecraft failure[4],Apogee: 43 kilometres (27 mi)[21],https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0241,1954,1954-07-20,1954-07-20T02:55:00Z,minute,20 July 02:55,Deacon Rockoon,,NRL Rockoon 8,"USS Atka, Labrador Sea",US Navy,NRL,Suborbital,Ionospheric / Aeronomy,20 July,Successful,Apogee: 90 kilometres (56 mi)[21],https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0242,1954,1954-07-21,1954-07-21T09:03:00Z,minute,21 July 09:03,Deacon Rockoon,,SUI 27,"USS Atka, Labrador Sea",US Navy,University of Iowa,Suborbital,Ionospheric / Aeronomy,21 July,Successful[4],"Apogee: 60 kilometres (37 mi);[21] first in series of 11 SUI flights, 7 of which were successful[4]",https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0243,1954,1954-07-21,1954-07-21T12:45:00Z,minute,21 July 12:45,Deacon Rockoon,,SUI 28,"USS Atka, Labrador Sea",US Navy,University of Iowa,Suborbital,Ionospheric / Aeronomy,21 July,,"Apogee: 90 kilometres (56 mi);[21] second in series of 11 SUI flights, 7 of which were successful[4]",https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
L0244,1954,1954-07-21,1954-07-21T20:49:00Z,minute,21 July 20:49,Deacon Rockoon,,SUI 29,"USS Atka, Labrador Sea",US Navy,University of Iowa,Suborbital,Ionospheric / Aeronomy,21 July,Launch failure[21],"Apogee: 40 kilometres (25 mi);[21] third in series of 11 SUI flights, 7 of which were successful[4]",https://en.wikipedia.org/wiki/1954_in_spaceflight,compiled_event_table
