launch_id,year,launch_date_utc,launch_datetime_utc,time_precision,raw_date_time,rocket,payload,flight_number,launch_site,launch_service_provider,operator,trajectory_class,function,decay_or_impact_date_utc,outcome,remarks,source_url,source_tier
L0444,1955,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 5/6; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0445,1955,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 6/6; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0446,1955,,,year_only_aggregate,,R-5,,,,,,Suborbital,Missile test,,,Aggregate series member 1/2; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0447,1955,,,year_only_aggregate,,R-5,,,,,,Suborbital,Missile test,,,Aggregate series member 2/2; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0448,1955,,,year_only_aggregate,,R-5M,,,,,,Suborbital,Missile test,,,Aggregate series member 1/5; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0449,1955,,,year_only_aggregate,,R-5M,,,,,,Suborbital,Missile test,,,Aggregate series member 2/5; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0450,1955,,,year_only_aggregate,,R-5M,,,,,,Suborbital,Missile test,,,Aggregate series member 3/5; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0451,1955,,,year_only_aggregate,,R-5M,,,,,,Suborbital,Missile test,,,Aggregate series member 4/5; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0452,1955,,,year_only_aggregate,,R-5M,,,,,,Suborbital,Missile test,,,Aggregate series member 5/5; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0453,1955,,,year_only_aggregate,,Nike-Deacon,,,,,,Suborbital,Missile test,,,Aggregate series member 1/1; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0454,1955,,,year_only_aggregate,,X-17,,,,,,Suborbital,Missile test,,,Aggregate series member 1/1; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0455,1955,,,year_only_aggregate,,Nike-Nike-T40-T55,,,,,,Suborbital,Missile test,,,Aggregate series member 1/1; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0456,1955,,,year_only_aggregate,,Nike-Nike-Tri-Deacon-T40,,,,,,Suborbital,Missile test,,,Aggregate series member 1/1; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
