obs_id,obs_title,access_url,s_ra,s_dec,s_fov,t_min,t_max,t_exptime,facility_name,instrument_name,dasch_id,plate_class,dasch_table,obs_start_utc,obs_end_utc,source_archive,source_url
ivo://org.gavo.dc/~?dasch/q/adh01744,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-03-10T17:57:56.500003,http://dc.g-vo.org/getproduct/dasch/q/adh01744,,,,34446.74857060192,34446.74857060192,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01744,Lg,dasch.narrow_plates,1953-03-10T17:57:56.500006017+00:00,1953-03-10T17:57:56.500006017+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01745,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-03-10T18:12:53.999985,http://dc.g-vo.org/getproduct/dasch/q/adh01745,,,,34446.75895833317,34446.75895833317,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01745,Lg,dasch.narrow_plates,1953-03-10T18:12:53.999986052+00:00,1953-03-10T18:12:53.999986052+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01757,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-03-21T18:08:32.599999,http://dc.g-vo.org/getproduct/dasch/q/adh01757,,,,34457.75593287032,34457.75593287032,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01757,Lg,dasch.narrow_plates,1953-03-21T18:08:32.599995734+00:00,1953-03-21T18:08:32.599995734+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01790,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-04-19T20:32:19,http://dc.g-vo.org/getproduct/dasch/q/adh01790,,,,34486.85577546293,34486.85577546293,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01790,Lg,dasch.narrow_plates,1953-04-19T20:32:18.999997082+00:00,1953-04-19T20:32:18.999997082+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01792,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-04-19T21:11:42.499991,http://dc.g-vo.org/getproduct/dasch/q/adh01792,,,,34486.88313078694,34486.88313078694,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01792,Lg,dasch.narrow_plates,1953-04-19T21:11:42.499991659+00:00,1953-04-19T21:11:42.499991659+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01796,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-04-19T23:44:47.299985,http://dc.g-vo.org/getproduct/dasch/q/adh01796,,,,34486.98943634238,34486.98943634238,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01796,Lg,dasch.narrow_plates,1953-04-19T23:44:47.299981709+00:00,1953-04-19T23:44:47.299981709+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01804,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-04-20T23:59:59.999998,http://dc.g-vo.org/getproduct/dasch/q/adh01804,,,,34488.0,34488.0,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01804,P,dasch.narrow_plates,1953-04-21T00:00:00+00:00,1953-04-21T00:00:00+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01806,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-04-23T00:00:00.000002,http://dc.g-vo.org/getproduct/dasch/q/adh01806,,,,34490.0,34490.0,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01806,P,dasch.narrow_plates,1953-04-23T00:00:00+00:00,1953-04-23T00:00:00+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01815,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-05-02T23:59:59.999997,http://dc.g-vo.org/getproduct/dasch/q/adh01815,,,,34500.0,34500.0,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01815,P2,dasch.narrow_plates,1953-05-03T00:00:00+00:00,1953-05-03T00:00:00+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01817,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-05-02T23:59:59.999997,http://dc.g-vo.org/getproduct/dasch/q/adh01817,,,,34500.0,34500.0,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01817,P2,dasch.narrow_plates,1953-05-03T00:00:00+00:00,1953-05-03T00:00:00+00:00,Harvard DASCH,https://dc.g-vo.org/tap
