pair_index,pair_id,plate_a,plate_b,site_a,site_b,parent_pair_status,downstream_pair_class,eligible_fragment_count,admissible_fragment_count,unresolved_fragment_count,witness_count,parent_pair_row_sha256
241,3274|121194,2442,78513,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,2,d193cef15438604bae7f1ffa90f3554a6aef169fb798c9f526298a32774d8846
242,3274|121195,2442,78514,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,15d544f9c8cc4d8b52eb3f8396ee598c12107aeed590a2be89b59b3ede97ad37
244,3280|85943,2448,58085,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,a4bcaa96149d50d7481d6c9532969940adb513338a2489eb36b7a3250799aa56
245,3280|85944,2448,58085,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,99c049dcbf64e12143b68ec203e27a9783dd7114efbf171f887a58d1b0b136ec
251,3291|85975,2459,58101,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,f0487f952cc301c1001fb8908f36b6edf30353a38de78927f47142a970b5f243
252,3291|85976,2459,58101,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,1cbadfc5c7c50144aa5e9ad037205fd0e07082c04986fdce8b2bb04f549b6f7d
255,3308|85985,2475,58106,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,2f52c57952bb820f2d2c2e8359d6b274bb8b8b8d82e67152474db8b01b3b09e6
262,3317|85993,2483,58110,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,912f5ffeb226d166d3d4bd217a799968faf8e87912c37acfbc8d37a4bb522ee8
263,3317|85994,2483,58110,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,a4eb8d26c9f6af1d6bc582aadbb4e5f941b81e73e56bb147d288dff0585280d0
264,3320|85995,2486,58111,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,5a83a8d87f10dd2cba173798501429e3007776e488ec03599ba82b876a3290d5
