pair_index,canonical_pair,endpoint_a,endpoint_b,detector_coverage_state,endpoint_a_candidates_in_common_polygon,endpoint_b_candidates_in_common_polygon,shifted_endpoint,shift_radius_arcsec,direction,position_angle_deg_east_of_north,control_le_3arcsec_matches,control_le_10arcsec_matches,observed_le_3arcsec_matches,observed_le_10arcsec_matches,fixed_pre_shift_candidate_denominator,population_context_only
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,APPLAUSE:131892,DASCH:ax04674:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,35505,27500,endpoint_b,120.0,SE,135.0,18,208,19,196,True,True
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,APPLAUSE:131892,DASCH:ax04674:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,35505,27500,endpoint_b,120.0,S,180.0,19,179,19,196,True,True
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,APPLAUSE:131892,DASCH:ax04674:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,35505,27500,endpoint_b,120.0,SW,225.0,17,188,19,196,True,True
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,APPLAUSE:131892,DASCH:ax04674:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,35505,27500,endpoint_b,120.0,W,270.0,13,181,19,196,True,True
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,APPLAUSE:131892,DASCH:ax04674:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,35505,27500,endpoint_b,120.0,NW,315.0,19,188,19,196,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,N,0.0,15,202,25,239,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,NE,45.0,25,247,25,239,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,E,90.0,11,236,25,239,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,SE,135.0,24,210,25,239,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,S,180.0,26,209,25,239,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,SW,225.0,18,200,25,239,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,W,270.0,19,222,25,239,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,NW,315.0,22,244,25,239,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,N,0.0,29,259,25,239,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,NE,45.0,21,224,25,239,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,E,90.0,22,258,25,239,True,True
