background,candidate_index,centroid_offset_px,centroid_offset_px_control_median,centroid_offset_px_control_n,centroid_offset_px_control_robust_sigma,centroid_offset_px_robust_z,concentration_f3_f8,concentration_f3_f8_control_median,concentration_f3_f8_control_n,concentration_f3_f8_control_robust_sigma,concentration_f3_f8_robust_z,control_selection_mode,eligible_fallback_count,eligible_preferred_count,ellipticity,ellipticity_control_median,ellipticity_control_n,ellipticity_control_robust_sigma,ellipticity_robust_z,endpoint_key,endpoint_status,error,flux3,flux5,flux8,global_x,global_y,hdu_index,oriented_center_value,outlier_metric_count,outlier_metrics,peak_to_flux5,peak_to_flux5_control_median,peak_to_flux5_control_n,peak_to_flux5_control_robust_sigma,peak_to_flux5_robust_z,polarity,population,positive_flux_support_r6,raw_match_row,rounded_x,rounded_y,scan_path,scan_sha256,selected_control_count,side,sigma_major_px,sigma_major_px_control_median,sigma_major_px_control_n,sigma_major_px_control_robust_sigma,sigma_major_px_robust_z,sigma_minor_px,sigma_minor_px_control_median,sigma_minor_px_control_n,sigma_minor_px_control_robust_sigma,sigma_minor_px_robust_z,snr,tile_id,usable_control_count
23134.0,12,0.5936429903482591,0.5714185900081903,14,0.230267978660136,0.09651537512678167,0.605533798197854,0.5210963738214278,14,0.11787830764293013,0.7163101173135177,same_tile_same_polarity_fallback_snr_0.50_1.50,14,5,0.1048247422061882,0.19756021829648707,14,0.1061755124015815,-0.8734167982119156,APPLAUSE:14120,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,152144.0,213760.0,251256.0,7928.0,2199.0,0,9477.0,0,,0.044334767964071854,0.04672792224736985,14,0.012617922228010683,-0.18966310300957512,-1,DIAGNOSTIC_179,223601.0,293205,7928,2199,work/pair17_morphology_v076/scans/LA08164_y.fits,e3340ba35643cf9342c2d1f5588a7e888dc5a1b157637f7d6f4e69e71ab6390f,14,A,2.0549586105801194,2.3263083738041574,14,0.27752478546311343,-0.9777496549406535,1.8395481039816717,1.8311171470233947,14,0.2656927574568802,0.03173197884268742,10.047893801030343,x07168-08192_y02048-03072,14
510.0,178,0.49357467014541423,0.4634408193945459,32,0.1648112423330181,0.18283856322118958,0.3539907157722491,0.35526838882679046,32,0.01947197371991622,-0.06561600138328699,same_tile_same_polarity_preferred_snr_0.75_1.25,248,90,0.15247015626555227,0.13294242264807554,32,0.04609266554267333,0.42366249353484753,APPLAUSE:132654,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,242724.0,506443.0,685679.0,1915.0,4572.0,0,10899.0,0,,0.021520684460047824,0.021506509545214166,32,0.0010361605111217265,0.013680230699308817,-1,DIAGNOSTIC_179,598809.0,293205,1915,4572,work/pair17_morphology_v076/scans/012673_1953_h.fits,871622bc7113e5d0fa8936c9a4a10ce0b85861176b3c98bacb8fcfa70c641b62,32,B,2.8025133941226352,2.736026938948732,32,0.0862840879878835,0.770552911021551,2.3752137389844536,2.3888761467009276,32,0.10816265596512442,-0.1263135376490684,8.662995174484223,x01024-02048_y04096-05120,32
22832.0,114,0.15995515386683984,0.32221334214325154,14,0.20220858776017248,-0.8024297586651287,0.5383605949587539,0.5453145890464391,14,0.05382930168998354,-0.12918603566018866,same_tile_same_polarity_fallback_snr_0.50_1.50,14,7,0.11704501733719641,0.10315320338421397,14,0.04675268192667753,0.29713405478575644,APPLAUSE:14120,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,551790.0,905568.0,1024945.0,9071.0,4010.0,0,26420.0,0,,0.02917505918937065,0.033568851817850104,14,0.005887287262571739,-0.7463187088581297,-1,PRIMARY_424,972548.0,293209,9071,4010,work/pair17_morphology_v076/scans/LA08164_y.fits,e3340ba35643cf9342c2d1f5588a7e888dc5a1b157637f7d6f4e69e71ab6390f,14,A,2.3676076089331612,2.3562672575528962,14,0.2759984144233227,0.04108846568542721,2.0904909352979013,2.0229113731204906,14,0.21899635044949609,0.3085876181895349,26.748910063471314,x08192-09216_y03072-04096,14
-2502.0,31,0.4237227296111931,0.3672605766029788,32,0.23817486553851278,0.23706176082246774,0.2804498196303142,0.34124247546800046,32,0.010206980534253472,-5.955988221362136,same_tile_same_polarity_preferred_snr_0.75_1.25,192,84,0.05406342710185963,0.12770257879485714,32,0.04213468719670141,-1.7477085174317488,APPLAUSE:132654,MORPHOLOGY_OUTLIER_VS_SNR_MATCHED_CONTROLS,,408773.0,888785.0,1457562.0,1318.0,4189.0,0,16299.0,1,concentration_f3_f8,0.01833851831432799,0.020259690098676966,32,0.0012288744118784931,-1.5633589289341767,-1,PRIMARY_424,1092299.0,293209,1318,4189,work/pair17_morphology_v076/scans/012673_1953_h.fits,871622bc7113e5d0fa8936c9a4a10ce0b85861176b3c98bacb8fcfa70c641b62,32,B,2.7680691025680515,2.783330362244575,32,0.05746694207759903,-0.2655658910111474,2.6184178004284537,2.414063859597377,32,0.08478762460064475,2.4101859415639635,12.087611297773503,x01024-02048_y04096-05120,32
23702.5,49,0.5971884712995421,0.4726270359366793,13,0.2870792471963696,0.4338921624580531,0.5215299608886987,0.45055285272003537,13,0.16318898929953826,0.4349380952313074,same_tile_same_polarity_fallback_snr_0.50_1.50,13,4,0.09317869224251774,0.23288982565271588,13,0.06767509329426395,-2.064439465235874,APPLAUSE:14120,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,236487.5,375331.5,453449.5,8829.0,2446.0,0,13102.5,0,,0.034909140319957156,0.03994575646700611,13,0.010408979376337623,-0.4838722380888298,-1,PRIMARY_424,408103.5,293210,8829,2446,work/pair17_morphology_v076/scans/LA08164_y.fits,e3340ba35643cf9342c2d1f5588a7e888dc5a1b157637f7d6f4e69e71ab6390f,13,A,2.3032068760345004,2.522221290545782,13,0.34761210901642425,-0.6300540425101636,2.088597071361631,1.8589676023164037,13,0.1783857197832173,1.287263741314516,13.344397850697197,x08192-09216_y02048-03072,13
-452.0,60,0.23081903538264345,0.3177166975007444,32,0.2186374816326045,-0.3974508920850205,0.3695746771768958,0.3451017196561392,32,0.011122502804831484,2.200310303372169,same_tile_same_polarity_preferred_snr_0.75_1.25,185,87,0.11610868361924997,0.12193421208856958,32,0.035858224765099624,-0.1624600355282932,APPLAUSE:132654,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,355009.0,721209.0,960588.0,1835.0,4274.0,0,15276.0,0,,0.021181100069466687,0.020259690098676966,32,0.0010228530943374133,0.9008233693486497,-1,PRIMARY_424,838777.0,293210,1835,4274,work/pair17_morphology_v076/scans/012673_1953_h.fits,871622bc7113e5d0fa8936c9a4a10ce0b85861176b3c98bacb8fcfa70c641b62,32,B,2.719294097095318,2.7657544561817042,32,0.055272931852046375,-0.8405625960054084,2.403560439107984,2.4203407355478195,32,0.03874336014914408,-0.43311412265841626,12.47903926748435,x01024-02048_y04096-05120,32
23222.5,67,0.8016961195757627,0.623561162440927,18,0.3022706858869683,0.5893226351477823,0.5793389489887545,0.4403639494584944,18,0.05276376979414521,2.6339095950206555,same_tile_same_polarity_preferred_snr_0.75_1.25,79,18,0.06856730507543685,0.22673423440642876,18,0.1795361903971608,-0.8809751893537626,APPLAUSE:14120,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,101617.5,152158.5,175402.5,8953.0,3707.0,0,6021.5,0,,0.03957386541008225,0.044621208526112205,18,0.012931078903958122,-0.390326526774575,-1,PRIMARY_424,157995.0,293211,8953,3707,work/pair17_morphology_v076/scans/LA08164_y.fits,e3340ba35643cf9342c2d1f5588a7e888dc5a1b157637f7d6f4e69e71ab6390f,18,A,2.036047964146987,2.513460520617257,18,0.17222593147233553,-2.772013206077253,1.8964416422410986,1.9645726773061223,18,0.3453693958005165,-0.19727004156551217,6.456753661251509,x08192-09216_y03072-04096,18
-1118.0,44,0.7056316419929218,0.7325649173274043,32,0.47534822632979623,-0.0566600943111464,0.3908401313581931,0.35439820931087496,32,0.0592416333479196,0.6151404002198718,same_tile_same_polarity_preferred_snr_0.75_1.25,207,170,0.18521567106743608,0.19883076632418273,32,0.10682295091222867,-0.12745477578066086,APPLAUSE:132654,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,142104.0,281353.0,363586.0,1418.0,4229.0,0,6424.0,0,,0.02283252711007169,0.024900874015892117,32,0.00411117540997397,-0.5031035408517205,-1,PRIMARY_424,320933.0,293211,1418,4229,work/pair17_morphology_v076/scans/012673_1953_h.fits,871622bc7113e5d0fa8936c9a4a10ce0b85861176b3c98bacb8fcfa70c641b62,32,B,2.706342438947996,2.7134680181844364,32,0.216616900129629,-0.03289484445662499,2.2050854079799613,2.203893525894397,32,0.13354842876171488,0.008924718146187706,5.356502874511473,x01024-02048_y04096-05120,32
23027.5,97,0.4859713200046135,0.24877042150544038,16,0.17120086311310184,1.3855122818070675,0.5128219277670815,0.5453145890464391,16,0.06881104231190445,-0.47220126578051247,same_tile_same_polarity_fallback_snr_0.50_1.50,16,7,0.06306515818943281,0.11397135252400165,16,0.04868648357056456,-1.0455919302692522,APPLAUSE:14120,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,506475.5,833290.5,987624.5,8978.0,3928.0,0,24973.5,0,,0.029969740444658857,0.0337078953327299,16,0.005609614527381942,-0.6663835580545096,-1,PRIMARY_424,902994.0,293213,8978,3928,work/pair17_morphology_v076/scans/LA08164_y.fits,e3340ba35643cf9342c2d1f5588a7e888dc5a1b157637f7d6f4e69e71ab6390f,16,A,2.3089956587775724,2.3764039735284492,16,0.29515740483682157,-0.22838090336288078,2.163378482298051,2.010707432156548,16,0.20090278757635457,0.759924996478605,25.229733638272393,x08192-09216_y03072-04096,16
-1263.5,41,0.2511531196357917,0.37238447968130617,32,0.20768805945548466,-0.5837184880216906,0.335361865298679,0.34088529003894585,32,0.02416237268493214,-0.2285961239109312,same_tile_same_polarity_preferred_snr_0.75_1.25,165,81,0.12659540664215196,0.1228298094223978,32,0.03291811809657534,0.11439284617384993,APPLAUSE:132654,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,420938.5,889660.5,1255177.0,1345.0,4220.0,0,17445.5,0,,0.019609165518756876,0.019465516998225567,32,0.001627081906900937,0.08828597990184313,-1,PRIMARY_424,1056260.5,293213,1345,4220,work/pair17_morphology_v076/scans/012673_1953_h.fits,871622bc7113e5d0fa8936c9a4a10ce0b85861176b3c98bacb8fcfa70c641b62,32,B,2.8020196201281546,2.776582780328659,32,0.061306507226188016,0.4149125590477286,2.4472968068987426,2.4283099524600025,32,0.08842345859904141,0.21472643956211399,13.906138949884484,x01024-02048_y04096-05120,32
22345.5,93,0.42130362398819804,0.270128047927199,10,0.13369134677885675,1.1307805606226968,0.3270479158883421,0.44282357139096884,10,0.1122758994370285,-1.031171035664347,same_tile_same_polarity_fallback_snr_0.50_1.50,10,7,0.05681521886784313,0.06304988376382359,10,0.034519431526654105,-0.18061319727024977,APPLAUSE:14120,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,973013.5,2137990.5,2975140.5,8429.0,2759.0,0,37045.5,0,,0.01732725192183969,0.021666005623487125,10,0.006040067306472716,-0.7183287009066767,-1,DIAGNOSTIC_179,2541314.5,293215,8429,2759,work/pair17_morphology_v076/scans/LA08164_y.fits,e3340ba35643cf9342c2d1f5588a7e888dc5a1b157637f7d6f4e69e71ab6390f,10,A,2.717337859719294,2.5051514796370116,10,0.2690051291120593,0.7887819120128827,2.562951714481466,2.2809181488157146,10,0.3242839343867162,0.8697118042530583,33.873275088886984,x08192-09216_y02048-03072,10
-3761.5,110,0.21356965429342642,0.25351957227915956,32,0.15129237187130154,-0.2640577148180145,0.23450583893083402,0.29177282507127933,32,0.058236051443215545,-0.9833597011000113,same_tile_same_polarity_preferred_snr_0.75_1.25,121,52,0.0719379302964499,0.1087371479011835,32,0.027375733447019546,-1.344227641460324,APPLAUSE:132654,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,687370.5,1714974.5,2931144.5,1730.0,4405.0,0,24675.5,0,,0.014388260583466402,0.017058201909630078,32,0.0027055885817793006,-0.9868245838056496,-1,DIAGNOSTIC_179,2190587.5,293215,1730,4405,work/pair17_morphology_v076/scans/012673_1953_h.fits,871622bc7113e5d0fa8936c9a4a10ce0b85861176b3c98bacb8fcfa70c641b62,32,B,2.9362350274450777,2.8699513801626715,32,0.07906274092184225,0.8383676876056086,2.725008356706739,2.533266130537858,32,0.14480517173207189,1.3241393513462019,18.019470074114952,x01024-02048_y04096-05120,32
22910.5,53,0.3634558472508574,0.3168974000785139,15,0.141305608183848,0.32948761036977275,0.5116408501759412,0.47562380909173396,15,0.09104581853693183,0.3955924792921409,same_tile_same_polarity_fallback_snr_0.50_1.50,15,8,0.059756607967974884,0.07201572300471071,15,0.04341971560482576,-0.28233982802442215,APPLAUSE:14120,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,578696.5,972671.5,1131060.0,11711.0,2465.0,0,26667.5,0,,0.02741675889547499,0.030642438396770503,15,0.007223147311296041,-0.4465753448293905,-1,PRIMARY_424,1054745.0,293216,11711,2465,work/pair17_morphology_v076/scans/LA08164_y.fits,e3340ba35643cf9342c2d1f5588a7e888dc5a1b157637f7d6f4e69e71ab6390f,15,A,2.3364767038443612,2.4141894014704004,15,0.1814856190891632,-0.42820306102523314,2.1968567814264275,2.2293544567392822,15,0.19856355848234097,-0.16366384426850855,25.892860308478497,x11264-12288_y02048-03072,15
-2062.5,97,0.047188962305488656,0.2467783428746005,32,0.15229302703064254,-1.3105615172318617,0.3251853781155437,0.31283057375200984,32,0.03535614266943712,0.34943869525149646,same_tile_same_polarity_preferred_snr_0.75_1.25,143,81,0.08415535505216265,0.10636890747555422,32,0.03231138061206076,-0.6874838525191336,APPLAUSE:132654,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,454462.5,988097.5,1397549.0,1835.0,3322.0,0,18043.5,0,,0.018260849764319815,0.018120260353073184,32,0.0018194485050529664,0.077270343654237,-1,PRIMARY_424,1176957.5,293216,1835,3322,work/pair17_morphology_v076/scans/012673_1953_h.fits,871622bc7113e5d0fa8936c9a4a10ce0b85861176b3c98bacb8fcfa70c641b62,32,B,2.7713884651569614,2.834993089206984,32,0.0685955478200595,-0.9272412871003057,2.5381612848842092,2.4964552168078864,32,0.09101234316831681,0.4582462842341315,14.369800649008086,x01024-02048_y03072-04096,32
22206.5,19,0.28748821879950853,0.5962383225366605,15,0.5458572098146502,-0.5656243028135332,0.5973004161275658,0.4222329534479428,15,0.08289979311903801,2.11179613474112,same_tile_same_polarity_fallback_snr_0.50_1.50,15,6,0.40069505326218924,0.19802722569805176,15,0.09118263847844901,2.2226580733572208,APPLAUSE:14120,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,162269.5,227092.5,271671.5,5510.0,2262.0,0,9621.5,0,,0.04236819798099893,0.03640955474757843,15,0.00559212959854414,1.0655409765488584,-1,PRIMARY_424,245088.0,293218,5510,2262,work/pair17_morphology_v076/scans/LA08164_y.fits,e3340ba35643cf9342c2d1f5588a7e888dc5a1b157637f7d6f4e69e71ab6390f,15,A,2.53230433562571,2.510547100662085,15,0.19565975090317633,0.11119933897079994,1.5176225149860931,2.0128895308366554,15,0.2192748995848383,-2.2586580442552733,10.980436274709065,x05120-06144_y02048-03072,15
-695.0,111,0.2650851408475446,0.4067647520510837,32,0.1858950567389272,-0.7621483523497632,0.3561505933391408,0.3661037451906066,32,0.0215309902052322,-0.46227097576994586,same_tile_same_polarity_preferred_snr_0.75_1.25,232,82,0.19575018499194685,0.12632042075256272,32,0.04630347398402471,1.499450435691678,APPLAUSE:132654,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,246942.0,487700.0,693364.0,1888.0,5367.0,0,10488.0,0,,0.021505023580069716,0.022277493359043485,32,0.001253545225318267,-0.6162280892399743,-1,PRIMARY_424,567679.0,293218,1888,5367,work/pair17_morphology_v076/scans/012673_1953_h.fits,871622bc7113e5d0fa8936c9a4a10ce0b85861176b3c98bacb8fcfa70c641b62,32,B,2.8131048289385503,2.712547385068858,32,0.09017458246345188,1.11514177412963,2.26243903827209,2.356945914669412,32,0.10067027273329696,-0.9387764017258236,8.670411741991865,x01024-02048_y05120-06144,32
