background,centroid_offset_px,concentration_f3_f8,control_candidate_index,control_global_x,control_global_y,control_order,control_selection_mode,control_snr,distance_from_science_px,ellipticity,endpoint_key,error,flux3,flux5,flux8,oriented_center_value,peak_to_flux5,polarity,population,positive_flux_support_r6,raw_match_row,rounded_x,rounded_y,science_candidate_index,science_tile_id,side,sigma_major_px,sigma_minor_px,snr_ratio,usable
-7436.0,1.7835687963018145,0.19393013899597683,22,7930.0,1131.0,23,same_tile_same_polarity_fallback_snr_0.50_1.50,14.390485766220628,553.7725164722424,0.24879078368535823,APPLAUSE:14120,,323203.0,790569.0,1666595.0,12205.0,0.01543824764188831,-1,PRIMARY_424,1046034.0,292670,7930,1131,83,x07168-08192_y01024-02048,A,2.932482380003928,2.2029077905392462,1.26988995032101,True
22843.0,0.413388631076941,0.5026688486479872,50,7726.0,1226.0,24,same_tile_same_polarity_fallback_snr_0.50_1.50,11.797853644715216,607.8396170043542,0.14966109252390813,APPLAUSE:14120,,197199.0,310940.0,392304.0,11675.0,0.037547436804528204,-1,PRIMARY_424,344484.0,292670,7726,1226,83,x07168-08192_y01024-02048,A,2.4336109895897,2.069394110109516,1.0411028524102885,True
22286.0,0.13874056365467746,0.5794676366995785,53,7634.0,1241.0,25,same_tile_same_polarity_fallback_snr_0.50_1.50,16.48411790704487,671.8005656442989,0.07382176599815482,APPLAUSE:14120,,301074.0,465616.0,519570.0,16227.0,0.03485060650836741,-1,PRIMARY_424,496556.0,292670,7634,1241,83,x07168-08192_y01024-02048,A,2.2347067658925117,2.0697367659463013,1.4546427417481484,True
22718.0,0.8614025756812712,0.6022722060972174,162,7533.0,1942.0,26,same_tile_same_polarity_fallback_snr_0.50_1.50,12.176900541979654,729.4285434502821,0.14324700259964274,APPLAUSE:14120,,183846.0,258280.0,305254.0,11658.0,0.045137060554437045,-1,PRIMARY_424,275046.0,292670,7533,1942,83,x07168-08192_y01024-02048,A,2.1134822607215256,1.8107322618256503,1.074551886261971,True
22431.5,0.251234660311365,0.5671613064868805,9,7532.0,1091.0,27,same_tile_same_polarity_fallback_snr_0.50_1.50,13.973589701861593,843.348089462471,0.23031784782061704,APPLAUSE:14120,,249006.5,371440.5,439040.0,13745.5,0.03700592692503914,-1,PRIMARY_424,401404.0,292670,7532,1091,83,x07168-08192_y01024-02048,A,2.4047733264867674,1.850911109433909,1.2331009126847245,True
22654.0,1.2831997823413372,0.3585120105357159,1,7504.0,1038.0,28,same_tile_same_polarity_fallback_snr_0.50_1.50,5.683396920845731,898.7463490885513,0.25779040324599845,APPLAUSE:14120,,79490.0,133328.0,221722.0,5797.0,0.04347923916956678,-1,PRIMARY_424,165923.0,292670,7504,1038,83,x07168-08192_y01024-02048,A,2.723369242602808,2.021310787364481,0.5015319670729116,True
22840.5,0.868251716082256,0.5535703908179573,143,7290.0,1820.0,29,same_tile_same_polarity_fallback_snr_0.50_1.50,13.775041797428251,919.7853010349752,0.22391371707637164,APPLAUSE:14120,,228613.5,343758.5,412980.0,13463.5,0.03916557699664154,-1,PRIMARY_424,373867.0,292670,7290,1820,83,x07168-08192_y01024-02048,A,2.3359218594800777,1.8128769131239437,1.2155800316947971,True
22992.0,0.6473112330326201,0.43373647401032817,51,7256.0,1237.0,30,same_tile_same_polarity_fallback_snr_0.50_1.50,6.676163014955229,1008.0079364766926,0.14888763879203748,APPLAUSE:14120,,129430.0,236228.0,298407.0,6812.0,0.028836547742011956,-1,PRIMARY_424,266389.0,292670,7256,1237,83,x07168-08192_y01024-02048,A,2.579073265008655,2.1950811363098457,0.5891387168664727,True
-254.5,0.3900978487422071,0.4392609635167171,197,2086.0,4590.0,1,same_tile_same_polarity_preferred_snr_0.75_1.25,7.54176055242155,104.92378186092989,0.06949376450667322,APPLAUSE:132654,,219845.5,415932.5,500489.5,9598.5,0.0230770617828614,-1,PRIMARY_424,461679.5,292670,2086,4590,149,x02048-03072_y04096-05120,B,2.4944209982651597,2.32107429283122,0.8012377440313057,True
-642.5,0.5976350354684126,0.3601715308903867,209,2177.0,4614.0,2,same_tile_same_polarity_preferred_snr_0.75_1.25,7.837069247296103,145.49914089093448,0.05678506392473848,APPLAUSE:132654,,236851.5,469147.5,657607.5,10522.5,0.022428980224769395,-1,PRIMARY_424,543099.0,292670,2177,4614,149,x02048-03072_y04096-05120,B,2.583673456813745,2.4369593944079266,0.8326113829620913,True
-484.0,0.42493413352191095,0.38264824287431787,90,2183.0,4340.0,3,same_tile_same_polarity_preferred_snr_0.75_1.25,8.560683223495744,165.94577427581578,0.1865357031872189,APPLAUSE:132654,,237434.0,464416.0,620502.0,10771.0,0.023192568731482118,-1,PRIMARY_424,534847.0,292670,2183,4340,149,x02048-03072_y04096-05120,B,2.7649296965567247,2.2491715913462924,0.9094882376182049,True
164.5,0.10980506318447021,0.3912985200912575,158,2282.0,4499.0,4,same_tile_same_polarity_preferred_snr_0.75_1.25,7.444195346680471,176.40861656959956,0.08080464059260861,APPLAUSE:132654,,210190.5,406349.5,537161.5,9470.5,0.023306291751312602,-1,PRIMARY_424,468281.5,292670,2282,4499,149,x02048-03072_y04096-05120,B,2.6290161172920556,2.416579414822096,0.7908724023049851,True
-992.5,0.7508831711682641,0.28727312848237435,218,2235.0,4641.0,5,same_tile_same_polarity_preferred_snr_0.75_1.25,7.946804891503454,200.89051744669283,0.21558242869812305,APPLAUSE:132654,,273388.5,569006.5,951667.5,11554.5,0.020306446411420608,-1,PRIMARY_424,689154.0,292670,2235,4641,149,x02048-03072_y04096-05120,B,2.898309953655043,2.2734852547261446,0.8442697138509297,True
-533.5,0.5096116225699874,0.38110354270106495,230,2230.0,4672.0,6,same_tile_same_polarity_preferred_snr_0.75_1.25,11.686415955203307,222.71281956816046,0.10268532298485711,APPLAUSE:132654,,328171.5,631844.5,861108.5,14696.5,0.0232596786076321,-1,PRIMARY_424,735233.5,292670,2230,4672,149,x02048-03072_y04096-05120,B,2.647428128071601,2.375576115661373,1.2415665401564675,True
-434.0,0.4213303207031027,0.3940639055412921,63,2268.0,4272.0,7,same_tile_same_polarity_preferred_snr_0.75_1.25,10.839839474625167,269.20066864701505,0.06065017328293809,APPLAUSE:132654,,311117.0,605416.0,789509.0,13671.0,0.022581167329571734,-1,PRIMARY_424,693875.0,292670,2268,4272,149,x02048-03072_y04096-05120,B,2.573982609465027,2.417870118173704,1.1516261310525753,True
623.5,0.2637299947766686,0.3477521716279173,117,2363.0,4403.0,8,same_tile_same_polarity_preferred_snr_0.75_1.25,7.457102018090471,270.37936311782374,0.04358195223371808,APPLAUSE:132654,,204451.5,425402.5,587923.0,9452.5,0.022220132697856734,-1,PRIMARY_424,499896.5,292670,2363,4403,149,x02048-03072_y04096-05120,B,2.6553378477604044,2.5396130405149266,0.7922436089631151,True
185.5,0.3449610993630971,0.376240528092943,47,2075.0,4214.0,9,same_tile_same_polarity_preferred_snr_0.75_1.25,9.122888147257807,274.7544358149655,0.06606581956847235,APPLAUSE:132654,,263578.5,511075.5,700558.5,11661.5,0.022817568050121754,-1,PRIMARY_424,593916.5,292670,2075,4214,149,x02048-03072_y04096-05120,B,2.6186844553220405,2.4456789205899714,0.969216970938142,True
812.5,0.4759141919274646,0.40701062550705724,229,2313.0,4668.0,10,same_tile_same_polarity_preferred_snr_0.75_1.25,7.708471389740416,274.9727259202265,0.3751795854740281,APPLAUSE:132654,,160287.5,280274.5,393816.5,9505.5,0.033914965507029715,-1,PRIMARY_424,320354.0,292670,2313,4668,149,x02048-03072_y04096-05120,B,2.9134680854679087,1.8203943368702487,0.8189491277686279,True
78.0,0.3563813189791892,0.3479533890690757,186,2378.0,4571.0,11,same_tile_same_polarity_preferred_snr_0.75_1.25,9.544005160019827,284.67525357852935,0.12893749459611292,APPLAUSE:132654,,276894.0,566200.0,795779.0,12262.0,0.021656658424584953,-1,PRIMARY_424,669294.0,292670,2378,4571,149,x02048-03072_y04096-05120,B,2.7713352751060314,2.41400624804803,1.013956503960084,True
