raw_match_row,population,target_ra_deg,target_dec_deg,query_sha256,raw_votable_sha256,raw_votable_sha256_kind,raw_query_row_count,cached,http_status,transport_mode,component_query_count,component_cache_hits,decomposition_events,global_timeout_fallback
292733,PRIMARY_424,85.08846765344926,6.4243766554808355,aad608e534ed3a160573012a787c7239e2ec416663c37c735e51fe99cf79c0d4,bf32c0720d51e2de9779ba2ae31824db25a4ed14c40c77aec091f7c48aecf53c,sha256_of_ordered_component_raw_sha256_list,362,False,MULTI,ELIGIBLE_PLATE_BATCHED_CONE,3,0,0,False
292737,DIAGNOSTIC_179,85.3237246248391,6.877674807396708,0320230186ae7f3cb8c230e3382140f7c1db392e57e932629f3cb3c187d1ccea,324d5e75ce5e335cbed1490c9873cedb80627265f0f82b7691e195224be01041,sha256_of_ordered_component_raw_sha256_list,828,False,MULTI,ELIGIBLE_PLATE_BATCHED_CONE,4,0,0,False
292738,PRIMARY_424,85.66336505838512,9.247587675156803,97fcdeea48727c768c4800e7de070b2d2a0d5069324b99d29dddc794ae201d51,d3c4ae9c0961fee50a3468240881e17fc815d87df4edff91e909d4ab2ec6e278,sha256_of_ordered_component_raw_sha256_list,863,False,MULTI,ELIGIBLE_PLATE_BATCHED_CONE,4,0,0,False
292739,PRIMARY_424,85.09138082797885,6.666738984670975,6913b90115ad4f98effe490276fceca69fac3e416e50b330dba2ab76791a0430,3f31e4c16885172cae1807fc9e691b71723a89bfd09a330b20cb2d0677352e7f,sha256_of_ordered_component_raw_sha256_list,813,False,MULTI,ELIGIBLE_PLATE_BATCHED_CONE,3,0,0,False
292740,PRIMARY_424,84.86817786790317,10.30845524762269,f7cd01e3e830071b485c63e4a736656ad753c709f25dcbc5c0737a05bc62d77f,60c704619bc89b3e59ba335d59b754226566ef7b8de572e5d07c75ebb878ed49,sha256_of_ordered_component_raw_sha256_list,819,False,MULTI,ELIGIBLE_PLATE_BATCHED_CONE,4,0,0,False
292742,PRIMARY_424,84.47767314921458,7.010041452800837,232b5dcf903099bbffc557e03b138e21799c542f707281647a2e88fd153f71b9,25b872148cf0245dd6a20b7e1d0fd7b691ab09602a2e3040c4ce81f9cf2ab0ec,sha256_of_ordered_component_raw_sha256_list,512,False,MULTI,ELIGIBLE_PLATE_BATCHED_CONE,3,0,0,False
292746,PRIMARY_424,85.63172578168715,9.081087710728236,9801aadf43a000718d5241ec570d9096b24cab70ced1b4f18dfbc34f2c4a664e,a7090ddc97b4ff1121ae5fa857de5c60ce709660bb9e0cf7fa7eeec6d6dc239d,sha256_of_ordered_component_raw_sha256_list,840,False,MULTI,ELIGIBLE_PLATE_BATCHED_CONE,4,0,0,False
292747,PRIMARY_424,84.98903162265863,9.699526941150731,5856b44e118e7f16b2d0921a4a24452d80500f2e6e750eb98c49ceca7b80d2ac,f94a0007ff48eebd8cd80c47f11a1fece4e069567412cfe9968e3fa2653f15ca,sha256_of_ordered_component_raw_sha256_list,1042,False,MULTI,ELIGIBLE_PLATE_BATCHED_CONE,4,0,0,False
292753,PRIMARY_424,84.27683330045211,8.972032170783136,150878bc1ea68f4067d9c5b27a7638fa93c338e1b7b445e3d45040ca901b214a,da0ed15c7ac215342b25c2c35b718dfcac1794da4f852d74f2f37c9ba12bf5aa,sha256_of_ordered_component_raw_sha256_list,666,False,MULTI,ELIGIBLE_PLATE_BATCHED_CONE,3,0,0,False
292754,PRIMARY_424,85.038727025195,9.652562116033122,56cef68bd4628bb8368e1e2831cda6624abe6d77156c6e7b90adf90cc4a88e92,c1f65b95991e27757e14ba0d144d48f9f2863fdb43ef580a49d812b5c952ff34,sha256_of_ordered_component_raw_sha256_list,522,False,MULTI,ELIGIBLE_PLATE_BATCHED_CONE,4,0,0,False
292756,PRIMARY_424,85.55062716569904,9.906165669011424,95c85dcaee02ef8a36ef6c510fdfd853c33a715785817b07467f8583ae44aa57,253ab454e14afc2b958f311eb14ab9d123755cac9d64312d251a2a0e6ddc5e26,sha256_of_ordered_component_raw_sha256_list,733,False,MULTI,ELIGIBLE_PLATE_BATCHED_CONE,4,0,0,False
292758,DIAGNOSTIC_179,85.32380486105673,9.264242175105124,431f38ba00c9b2809f81e353f7b1e3b6fb679d38ea8d9f2c6406e320c3ec7ac0,a3ec0565ec61504d98890321bbec042d16507e9f90a92253266ad79a1edbdf2e,sha256_of_ordered_component_raw_sha256_list,1039,False,MULTI,ELIGIBLE_PLATE_BATCHED_CONE,4,0,0,False
