raw_match_row,population,target_ra_deg,target_dec_deg,eligible_physical_plate_count,raw_source_calib_rows_in_15arcsec,eligible_source_calib_rows_in_15arcsec,physical_plates_with_any_source_within_15arcsec,strict_physical_plate_recurrence_count,diagnostic_physical_plate_recurrence_count,wide_5_to_15_physical_plate_context_count,best_eligible_separation_arcsec,distinct_nonnull_gaiaedr3_ids_on_strict_plates,gaiaedr3_ids_repeated_on_2plus_strict_plates,catalog_recurrence_class,candidate_disposition_changed
293514,DIAGNOSTIC_179,86.41308026547426,9.727000094658154,923,741,741,415,314,70,30,0.47389061364025964,0,,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293518,PRIMARY_424,84.75494058774505,11.058255822027194,885,792,792,408,159,196,53,0.8939484164928985,1,3339664250366104192:147,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293523,PRIMARY_424,84.60586383095489,10.218579617234287,821,772,772,381,318,37,25,0.12974752904869477,1,3339475645465722368:297,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293525,PRIMARY_424,84.70743679719078,10.836297186676573,867,627,627,355,31,127,196,0.4951811780082243,1,3339656897382122496:18,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293527,PRIMARY_424,86.84826217512465,10.25673145610708,920,933,933,470,276,167,27,0.31111605387562546,1,3336701581925893888:276,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293530,DIAGNOSTIC_179,86.06740187271821,9.178740478650404,908,707,707,375,347,10,18,0.011903944008107542,1,3336109215739760384:338,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293531,DIAGNOSTIC_179,86.69996848204374,9.73851216354671,922,813,813,422,392,9,20,0.17394971248093155,1,3336249339049731072:389,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293540,PRIMARY_424,86.34387818850746,9.070626221045739,904,1081,1081,539,157,359,22,0.37495219126666346,1,3336092864798790144:149,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293542,PRIMARY_424,84.11388433458471,10.84604585141151,770,811,811,430,42,326,61,1.0256015192075452,1,3339750836907172096:25,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293547,PRIMARY_424,84.74593498914598,6.041206090708131,642,603,603,321,263,41,17,0.3820900249139794,1,3332902047696030848:256,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293548,PRIMARY_424,84.03694660045589,8.509902839376124,734,614,614,320,54,238,27,0.7379613242043361,1,3334697515825136512:49,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
