pair_index,pair_id,fragment_index,start_utc,end_utc,duration_seconds,fragment_status,extent_status,witness_time_utc,witness_distance_km,witness_disparity_arcsec,witness_ge2arcsec,fixed_time_component_intervals_json,deltat_source,deltat_uncertainty_qualification,published_reference_max_score_arcsec,height107m_max_score_arcsec,cells_processed,cells_certified_empty,cells_unresolved,max_depth_reached,exact_time_probes,negative_certificate_digest_sha256,unresolved_reason,input_hold_reason
1180,5074|126174,1,1933-09-11T19:51:00+00:00,1933-09-11T19:53:37+00:00,157.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,1,1,0,0,3,b97ad4b81186a699e84a07a09136971229504d3e451de0ec246b9f8baf19fd41,,
1181,5075|126174,1,1933-09-11T20:07:30+00:00,1933-09-11T20:27:26+00:00,1196.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-11T20:07:30+00:00,6997.396677327061,63373.337291214055,True,"[{""component_a"":1,""component_b"":0,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":null,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""},{""component_a"":0,""component_b"":1,""lower_closed"":true,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":7497.924223799658,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""},{""component_a"":1,""component_b"":1,""lower_closed"":true,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":9248.771823982306,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.005444820998968124,7.723219767145542,1,0,0,0,3,,,
1182,5085|126211,1,1933-09-16T20:58:00+00:00,1933-09-16T21:28:00+00:00,1800.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-16T20:58:00+00:00,9282.666503753408,26354.366391297783,True,"[{""component_a"":0,""component_b"":1,""lower_closed"":true,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":9282.666503753408,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""},{""component_a"":1,""component_b"":1,""lower_closed"":true,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":25232.408570357107,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.0015369591664320824,2.080003631389081,1,0,0,0,3,,,
1183,5085|126212,1,1933-09-16T21:29:00+00:00,1933-09-16T21:44:31+00:00,931.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-16T21:36:45.500000+00:00,8831.721633319417,31207.28517904917,True,"[{""component_a"":1,""component_b"":0,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":null,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.0018326185978528417,3.1262578643346863,1,0,0,0,3,,,
1183,5085|126212,2,1933-09-16T21:46:31+00:00,1933-09-16T21:59:00+00:00,749.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-16T21:47:17.812500+00:00,9108.551486878136,27886.870942566427,True,"[{""component_a"":0,""component_b"":1,""lower_closed"":true,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":9108.551486878136,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.0016524455579186765,4.798656242775829,4,0,0,3,6,,,
1184,5085|126213,1,1933-09-16T22:00:00+00:00,1933-09-16T22:15:26+00:00,926.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-16T22:15:26+00:00,8908.597108706785,29798.811708441877,True,"[{""component_a"":0,""component_b"":1,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":null,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.0017547527854772185,6.412467211000427,1,0,0,0,3,,,
1185,5085|126225,1,1933-09-17T22:23:00+00:00,1933-09-17T22:49:00+00:00,1560.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,31,16,0,4,33,b399bce91e2f8c974901fca4837566af9128847a454d2c5247d14fcc5120ca01,,
1186,5085|126226,1,1933-09-17T22:50:00+00:00,1933-09-17T23:14:00+00:00,1440.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,31,16,0,4,33,63f672c1fb3f539e74a13098a075f7d72cddaa4f45d5021252b79c74f332f7af,,
1187,5085|126234,1,1933-09-16T20:58:00+00:00,1933-09-16T21:28:00+00:00,1800.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,15,8,0,3,17,7410482d8f18e9d6565a60753c0763c088a8a1d5d793c642972ef424dfed5dcd,,
1188,5085|126235,1,1933-09-16T21:29:00+00:00,1933-09-16T21:44:31+00:00,931.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-16T21:36:45.500000+00:00,7206.098747365232,92799.49890133055,True,"[{""component_a"":0,""component_b"":1,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":null,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.005330242604397616,13.763752972420813,1,0,0,0,3,,,
1188,5085|126235,2,1933-09-16T21:46:31+00:00,1933-09-16T21:59:00+00:00,749.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-16T21:46:42.703125+00:00,7453.969502704327,72379.34290790114,True,"[{""component_a"":1,""component_b"":1,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":null,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.004102999377873229,11.381948569615956,6,0,0,5,8,,,
1189,5085|126236,1,1933-09-16T22:00:00+00:00,1933-09-16T22:15:26+00:00,926.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-16T22:01:55.750000+00:00,6937.53278348497,132773.77504660183,True,"[{""component_a"":1,""component_b"":1,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":null,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.0074195623717053525,20.994112689052162,3,0,0,2,5,,,
1190,5085|126248,1,1933-09-17T22:13:30+00:00,1933-09-17T22:22:00+00:00,510.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,7,4,0,2,9,5d05e1819f211af64ae7d1740265cdd3cd18665dd1693e8f3f913d4c95df0515,,
1191,5085|126250,1,1933-09-17T22:50:00+00:00,1933-09-17T23:14:00+00:00,1440.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,31,16,0,4,33,63f672c1fb3f539e74a13098a075f7d72cddaa4f45d5021252b79c74f332f7af,,
1192,5087|126217,1,1933-09-17T00:21:05+00:00,1933-09-17T00:27:00+00:00,355.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-17T00:25:43.037110+00:00,6939.443734953357,126773.56388446536,True,"[{""component_a"":0,""component_b"":0,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":false,""min_distance_km"":null,""upper_closed"":null,""upper_extent_state"":""UNRESOLVED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.005023809915583985,25.739595875331226,860,379,48,13,862,c6cbad3f67ebf83e983ae6e18c7160455b2b1249dd4d4caefda68e9899aa0b14,,
1193,5087|126219,1,1933-09-17T00:59:00+00:00,1933-09-17T01:35:00+00:00,2160.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-17T01:35:00+00:00,7118.246057979885,104430.21419732372,True,"[{""component_a"":0,""component_b"":0,""lower_closed"":true,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":7118.246057979885,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.005044539094090732,10.541942404000896,1,0,0,0,3,,,
1194,5087|126240,1,1933-09-17T00:21:05+00:00,1933-09-17T00:27:00+00:00,355.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,3,2,0,1,5,574638ac063bdd087d9957369149e9f4dc2274fa45a39a4cfd3f66561f9f3a84,,
1195,5087|126243,1,1933-09-17T01:30:00+00:00,1933-09-17T01:35:00+00:00,300.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-17T01:30:00+00:00,7195.784852367537,94271.21479621784,True,"[{""component_a"":0,""component_b"":0,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":null,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.004523345170202213,10.606916599699751,1,0,0,0,3,,,
1196,5089|126223,1,1933-09-17T21:20:00+00:00,1933-09-17T21:51:00+00:00,1860.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-17T21:51:00+00:00,6879.692801948269,143628.75570105802,True,"[{""component_a"":1,""component_b"":0,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":false,""min_distance_km"":null,""upper_closed"":null,""upper_extent_state"":""UNRESOLVED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.008557547837382416,22.632058296276305,1,0,0,0,3,,,
1197,5089|126225,1,1933-09-17T22:23:00+00:00,1933-09-17T22:49:00+00:00,1560.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,31,16,0,4,33,b399bce91e2f8c974901fca4837566af9128847a454d2c5247d14fcc5120ca01,,
1198,5089|126226,1,1933-09-17T22:50:00+00:00,1933-09-17T23:14:00+00:00,1440.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,31,16,0,4,33,63f672c1fb3f539e74a13098a075f7d72cddaa4f45d5021252b79c74f332f7af,,
1199,5089|126246,1,1933-09-17T20:52:43+00:00,1933-09-17T21:19:00+00:00,1577.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-17T20:54:21.562500+00:00,6738.223211776191,198093.30415725394,True,"[{""component_a"":0,""component_b"":0,""lower_closed"":true,""max_distance_km"":null,""max_unbounded"":false,""min_distance_km"":6738.223211776191,""upper_closed"":null,""upper_extent_state"":""UNRESOLVED""},{""component_a"":1,""component_b"":1,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":false,""min_distance_km"":null,""upper_closed"":null,""upper_extent_state"":""UNRESOLVED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.010948232082678054,2.7303101257815765,4,0,0,3,6,,,
1200,5089|126247,1,1933-09-17T21:20:00+00:00,1933-09-17T21:51:00+00:00,1860.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-17T21:20:00+00:00,6850.309375947358,150054.80614208145,True,"[{""component_a"":1,""component_b"":0,""lower_closed"":true,""max_distance_km"":null,""max_unbounded"":false,""min_distance_km"":6850.309375947358,""upper_closed"":null,""upper_extent_state"":""UNRESOLVED""},{""component_a"":0,""component_b"":1,""lower_closed"":true,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":6858.220790417452,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.00918207399254778,13.860866151675614,1,0,0,0,3,,,
1201,5089|126248,1,1933-09-17T21:52:00+00:00,1933-09-17T22:22:00+00:00,1800.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,63,32,0,5,65,e598a75535f58e994996392440819c7b89f6da4dfcf81990c1ed0b35a3549ea4,,
1202,5089|126250,1,1933-09-17T22:50:00+00:00,1933-09-17T23:14:00+00:00,1440.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,31,16,0,4,33,63f672c1fb3f539e74a13098a075f7d72cddaa4f45d5021252b79c74f332f7af,,
1203,5148|126284,1,1933-09-26T23:21:50+00:00,1933-09-26T23:22:00+00:00,10.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,1,1,0,0,3,ed26951adff18af8efc682cac06b47b78c6c36fde66a961acc0b18d21b58251e,,
