pair_index,pair_id,plate_a,plate_b,site_a,site_b,legacy_infinity_geometry_status,overlap_fragment_count,pair_status,extent_status,witness_fragment_index,witness_time_utc,witness_distance_km,witness_disparity_arcsec,witness_ge2arcsec,deltat_sources,deltat_uncertainty_qualification,published_reference_max_score_arcsec,height107m_max_score_arcsec,cells_processed,cells_certified_empty,cells_unresolved,exact_time_probes,negative_certificate_digest_sha256,input_hold_reason
4901,18664|138914,30774,95784,"Boyden Observatory, Bloemfontein, South Africa","Dr. Remeis-Observatory, Bamberg, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,7,4,0,9,eb1512ac160f18bf96fc79646af6f277c25bae747e5a474e27d7efbd48382a78,
4902,18664|138915,30774,95785,"Boyden Observatory, Bloemfontein, South Africa","Dr. Remeis-Observatory, Bamberg, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,3,2,0,5,736c722945cbd885315611aa9f1129b805ca4e71d8d7ee5413f51a0e2d8aa4fd,
4903,18664|138916,30774,95786,"Boyden Observatory, Bloemfontein, South Africa","Dr. Remeis-Observatory, Bamberg, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,3,2,0,5,736c722945cbd885315611aa9f1129b805ca4e71d8d7ee5413f51a0e2d8aa4fd,
4904,18664|138917,30774,95787,"Boyden Observatory, Bloemfontein, South Africa","Dr. Remeis-Observatory, Bamberg, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,3,2,0,5,736c722945cbd885315611aa9f1129b805ca4e71d8d7ee5413f51a0e2d8aa4fd,
4905,18665|138914,30775,95784,"Boyden Observatory, Bloemfontein, South Africa","Dr. Remeis-Observatory, Bamberg, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,3,2,0,5,736c722945cbd885315611aa9f1129b805ca4e71d8d7ee5413f51a0e2d8aa4fd,
4906,18665|138915,30775,95785,"Boyden Observatory, Bloemfontein, South Africa","Dr. Remeis-Observatory, Bamberg, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,3,2,0,5,5e51465392b0e679aacae1fd500230b59b7be9825b9caa7aa20aedab6aaf4f74,
4907,18665|138916,30775,95786,"Boyden Observatory, Bloemfontein, South Africa","Dr. Remeis-Observatory, Bamberg, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,3,2,0,5,7e7e24dc5c12aa8877dba487ade92fa75b931774c98de68a59858f8986691ecb,
4908,18665|138917,30775,95787,"Boyden Observatory, Bloemfontein, South Africa","Dr. Remeis-Observatory, Bamberg, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,71533ac0e72b88caf21978daa41380713b31d662fec28765df0ab449c5b6c911,
4909,18666|138914,30776,95784,"Boyden Observatory, Bloemfontein, South Africa","Dr. Remeis-Observatory, Bamberg, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,5,3,0,7,9a6b7f9340639c515cf35ed9a2e5492894a9739cc8677adbb4a8e77fcd671999,
4910,18666|138915,30776,95785,"Boyden Observatory, Bloemfontein, South Africa","Dr. Remeis-Observatory, Bamberg, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,3,2,0,5,8eb7d617b9ff0cd87e4ee6bce9bc018c15bbe64aa4ea2c0b7042516e30879f9b,
